PolicyNumber,LineOfBusiness,PolicyStatus,EffectiveDate,ExpirationDate,State,ClassCode,WrittenPremium,InsuredName,AgencyCode,UnderwriterID,RenewalCount
KM-POL-000059,WC,In Force,2022-03-06,2023-03-06,NY,8810,2629.9,Insured A-59,AG004,UW102,1
KM-POL-000060,WC,In Force,2022-07-01,2023-07-01,DE,9015,6505.75,Insured A-60,AG004,UW102,1
KM-POL-000061,WC,Cancelled,2021-05-27,2022-05-27,PA,8810,5495.9,Insured A-61,AG002,UW104,0
KM-POL-000062,WC,In Force,2021-12-17,2022-12-17,DE,8810,17626.94,Insured A-62,AG002,UW104,0
KM-POL-000063,GL,Expired,2023-12-30,2024-12-29,OH,91580,3180.84,Insured A-63,AG003,UW104,4
KM-POL-000064,WC,Expired,2022-05-17,2023-05-17,NJ,8810,18142.2,Insured A-64,AG003,UW104,5
KM-POL-000065,WC,In Force,2021-12-01,2022-12-01,PA,5191,29626.63,Insured A-65,AG001,UW103,3
KM-POL-000066,CA,In Force,2023-08-05,2024-08-04,NY,7210,7458.59,Insured A-66,AG004,UW103,1
KM-POL-000067,WC,In Force,2023-02-17,2024-02-17,PA,8742,12419.22,Insured A-67,AG015,UW103,1
KM-POL-000068,GL,Expired,2022-07-07,2023-07-07,PA,58483,3322.55,Insured A-68,AG001,UW104,2
KM-POL-000069,WC,In Force,2022-03-26,2023-03-26,PA,7380,5026.7,Insured A-69,AG001,UW104,0
KM-POL-000070,GL,In Force,2022-10-27,2023-10-27,NJ,91580,15910.48,Insured A-70,AG015,UW102,4
KM-POL-000071,CA,In Force,2021-04-25,2022-04-25,NY,7230,7844.83,Insured A-71,AG015,UW101,0
KM-POL-000072,WC,Expired,2022-04-15,2023-04-15,DE,5183,9592.96,Insured A-72,AG015,UW102,5
KM-POL-000073,WC,In Force,2021-03-07,2022-03-07,PA,5183,7084.56,Insured A-73,AG002,UW103,1
KM-POL-000074,GL,In Force,2022-10-09,2023-10-09,OH,91580,1606.69,Insured A-74,AG001,UW102,3
KM-POL-000075,CA,In Force,2023-04-02,2024-04-01,OH,7210,2585.02,Insured A-75,AG001,UW104,0
KM-POL-000076,CA,In Force,2022-07-03,2023-07-03,OH,7219,15472.99,Insured A-76,AG005,UW103,4
KM-POL-000077,CA,Expired,2021-05-16,2022-05-16,PA,7220,2279.53,Insured A-77,AG015,UW103,1
KM-POL-000078,WC,In Force,2022-03-09,2023-03-09,NJ,8017,11517.05,Insured A-78,AG015,UW101,2
KM-POL-000079,WC,Expired,2022-10-07,2023-10-07,MD,7380,22158.03,Insured A-79,AG003,UW101,3
KM-POL-000080,WC,Expired,2022-03-12,2023-03-12,NY,5191,3626.64,Insured A-80,AG003,UW103,0
KM-POL-000081,GL,Expired,2023-10-20,2024-10-19,PA,41677,7549.96,Insured A-81,AG004,UW103,1
KM-POL-000082,CA,Expired,2023-03-22,2024-03-21,PA,7220,8627.84,Insured A-82,AG003,UW102,1
KM-POL-000083,WC,In Force,2023-07-29,2024-07-28,NJ,9015,9996.59,Insured A-83,AG012,UW103,1
KM-POL-000084,WC,In Force,2021-10-20,2022-10-20,MD,5183,98196.17,Insured A-84,AG004,UW104,1
KM-POL-000085,WC,Expired,2022-06-27,2023-06-27,DE,9015,2604.82,Insured A-85,AG015,UW102,1
KM-POL-000086,WC,In Force,2021-10-13,2022-10-13,NJ,8742,23086.03,Insured A-86,AG005,UW104,1
KM-POL-000087,CA,Expired,2022-05-21,2023-05-21,PA,7220,4430.73,Insured A-87,AG003,UW104,2
KM-POL-000088,CA,In Force,2022-06-23,2023-06-23,NY,7219,7809.94,Insured A-88,AG005,UW104,2
KM-POL-000089,GL,Cancelled,2023-05-28,2024-05-27,OH,41677,9035.49,Insured A-89,AG003,UW103,0
KM-POL-000090,CA,Expired,2023-03-29,2024-03-28,NJ,7230,3165.63,Insured A-90,AG003,UW101,4
KM-POL-000091,WC,In Force,2023-01-12,2024-01-12,NY,5183,11886.96,Insured A-91,AG005,UW101,4
KM-POL-000092,CA,In Force,2022-03-26,2023-03-26,MD,7210,1612.05,Insured A-92,AG001,UW104,2
KM-POL-000093,CA,Expired,2021-10-11,2022-10-11,PA,7210,7058.22,Insured A-93,AG001,UW103,1
KM-POL-000094,CA,Expired,2023-11-10,2024-11-09,DE,7220,5877.55,Insured A-94,AG001,UW102,1
KM-POL-000095,CA,In Force,2023-10-08,2024-10-07,PA,7220,7209.8,Insured A-95,AG012,UW104,3
KM-POL-000096,CA,Expired,2021-07-06,2022-07-06,NY,7210,9273.08,Insured A-96,AG001,UW102,2
KM-POL-000097,CA,In Force,2021-04-07,2022-04-07,DE,7230,6127.68,Insured A-97,AG003,UW102,0
KM-POL-000098,WC,In Force,2021-08-13,2022-08-13,NY,8742,11141.94,Insured A-98,AG015,UW103,2
KM-POL-000099,WC,Expired,2021-11-10,2022-11-10,NY,5191,4890.97,Insured A-99,AG002,UW103,1
KM-POL-000100,WC,Expired,2021-11-24,2022-11-24,NJ,8742,5598.33,Insured A-100,AG005,UW101,0
KM-POL-000101,WC,Expired,2023-05-15,2024-05-14,MD,8017,25575.44,Insured A-101,AG015,UW101,2
KM-POL-000102,CA,Expired,2021-05-11,2022-05-11,DE,7219,11635.33,Insured A-102,AG002,UW103,2
KM-POL-000103,WC,In Force,2023-02-28,2024-02-28,PA,8810,8180.53,Insured A-103,AG015,UW104,1
KM-POL-000104,CA,Expired,2023-02-21,2024-02-21,NY,7210,5052.31,Insured A-104,AG012,UW101,2
KM-POL-000105,GL,In Force,2023-08-17,2024-08-16,NY,41677,3521.95,Insured A-105,AG002,UW102,4
KM-POL-000106,WC,In Force,2023-12-20,2024-12-19,NJ,8742,25291.04,Insured A-106,AG004,UW104,2
KM-POL-000107,WC,In Force,2022-05-30,2023-05-30,OH,8742,16853.83,Insured A-107,AG001,UW102,2
KM-POL-000108,CA,In Force,2021-01-24,2022-01-24,MD,7219,15752.12,Insured A-108,AG012,UW103,0
KM-POL-000109,WC,In Force,2021-08-23,2022-08-23,PA,8810,4901.72,Insured A-109,AG015,UW102,0
KM-POL-000110,WC,In Force,2022-07-01,2023-07-01,MD,9015,7314.35,Insured A-110,AG003,UW104,1
KM-POL-000111,WC,In Force,2022-11-28,2023-11-28,PA,8810,11910.27,Insured A-111,AG001,UW103,2
KM-POL-000112,WC,In Force,2021-08-17,2022-08-17,PA,5183,16600.56,Insured A-112,AG001,UW104,3
KM-POL-000113,GL,Expired,2022-08-25,2023-08-25,PA,41677,5704.63,Insured A-113,AG002,UW102,1
KM-POL-000114,GL,In Force,2023-06-10,2024-06-09,OH,58483,3600.86,Insured A-114,AG004,UW104,1
KM-POL-000115,CA,In Force,2021-11-20,2022-11-20,NY,7219,8340.22,Insured A-115,AG001,UW103,1
KM-POL-000116,GL,Expired,2023-07-19,2024-07-18,PA,91580,10990.59,Insured A-116,AG015,UW102,1
KM-POL-000117,GL,Expired,2021-01-07,2022-01-07,NJ,91580,3493.32,Insured A-117,AG015,UW102,4
KM-POL-000118,WC,Expired,2022-06-24,2023-06-24,NY,8742,29271.05,Insured A-118,AG005,UW101,2
KM-POL-000119,GL,In Force,2023-10-23,2024-10-22,PA,58483,15050.09,Insured A-119,AG005,UW101,0
KM-POL-000120,CA,Expired,2022-01-01,2023-01-01,OH,7219,5327.18,Insured A-120,AG001,UW104,3
KM-POL-000121,GL,In Force,2023-11-06,2024-11-05,OH,58483,7014.39,Insured A-121,AG002,UW101,3
KM-POL-000122,GL,In Force,2021-08-06,2022-08-06,DE,97047,9777.51,Insured A-122,AG002,UW101,2
KM-POL-000123,WC,In Force,2022-09-04,2023-09-04,MD,8742,4967.33,Insured A-123,AG003,UW101,0
KM-POL-000124,WC,Expired,2023-11-06,2024-11-05,NJ,7380,10137.79,Insured A-124,AG012,UW101,1
KM-POL-000125,WC,In Force,2022-02-12,2023-02-12,MD,8017,1768.86,Insured A-125,AG012,UW103,0
KM-POL-000126,WC,In Force,2021-11-10,2022-11-10,NY,9015,19953.59,Insured A-126,AG012,UW103,3
KM-POL-000127,GL,In Force,2023-02-05,2024-02-05,NY,97047,2223.76,Insured A-127,AG004,UW101,2
KM-POL-000128,GL,Expired,2021-11-27,2022-11-27,PA,97047,19003.79,Insured A-128,AG002,UW104,2
KM-POL-000129,WC,Expired,2023-12-23,2024-12-22,OH,8742,7600.0,Insured A-129,AG003,UW103,1
KM-POL-000130,CA,In Force,2021-01-02,2022-01-02,NJ,7230,4328.6,Insured A-130,AG005,UW101,0
KM-POL-000131,WC,Expired,2022-10-26,2023-10-26,PA,8742,5989.8,Insured A-131,AG015,UW103,0
KM-POL-000132,WC,In Force,2023-09-28,2024-09-27,PA,8017,7860.21,Insured A-132,AG012,UW102,5
KM-POL-000133,WC,Expired,2021-02-09,2022-02-09,DE,9015,30786.3,Insured A-133,AG005,UW103,0
KM-POL-000134,WC,In Force,2021-08-18,2022-08-18,DE,8742,1352.56,Insured A-134,AG005,UW103,0
KM-POL-000135,GL,Expired,2023-01-14,2024-01-14,NY,91580,16217.98,Insured A-135,AG001,UW104,5
KM-POL-000136,WC,In Force,2022-09-22,2023-09-22,OH,5191,12970.32,Insured A-136,AG004,UW103,2
KM-POL-000137,CA,Expired,2022-05-06,2023-05-06,PA,7230,2382.22,Insured A-137,AG003,UW104,3
KM-POL-000138,CA,In Force,2021-04-29,2022-04-29,NY,7219,2578.11,Insured A-138,AG004,UW102,0
KM-POL-000139,WC,In Force,2022-05-09,2023-05-09,PA,9015,37839.71,Insured A-139,AG001,UW101,2
KM-POL-000140,GL,In Force,2021-06-11,2022-06-11,OH,58483,3422.56,Insured A-140,AG003,UW104,1
KM-POL-000141,GL,In Force,2021-06-25,2022-06-25,OH,91580,2959.14,Insured A-141,AG003,UW103,3
KM-POL-000142,WC,In Force,2023-09-23,2024-09-22,DE,9015,24584.01,Insured A-142,AG002,UW103,0
KM-POL-000143,CA,Expired,2021-05-22,2022-05-22,NY,7210,6021.74,Insured A-143,AG004,UW104,1
KM-POL-000144,WC,In Force,2023-12-27,2024-12-26,NJ,8810,4673.48,Insured A-144,AG004,UW102,3
KM-POL-000145,WC,Expired,2021-09-15,2022-09-15,NJ,5191,11769.89,Insured A-145,AG002,UW101,2
KM-POL-000146,WC,Expired,2021-09-20,2022-09-20,OH,8017,4356.38,Insured A-146,AG005,UW103,2
KM-POL-000147,CA,Expired,2023-09-01,2024-08-31,NJ,7210,9513.74,Insured A-147,AG001,UW102,0
KM-POL-000148,CA,Expired,2021-12-05,2022-12-05,NJ,7230,9291.2,Insured A-148,AG004,UW101,0
KM-POL-000149,WC,Expired,2022-06-27,2023-06-27,NJ,8017,15147.71,Insured A-149,AG002,UW101,2
KM-POL-000150,WC,In Force,2023-12-17,2024-12-16,OH,5183,13217.92,Insured A-150,AG015,UW103,2
KM-POL-000151,GL,Expired,2023-05-17,2024-05-16,NJ,91580,22761.63,Insured A-151,AG003,UW104,5
KM-POL-000152,WC,In Force,2022-03-10,2023-03-10,PA,8742,9894.65,Insured A-152,AG012,UW103,3
KM-POL-000153,WC,Expired,2022-02-16,2023-02-16,NY,5191,3844.89,Insured A-153,AG015,UW103,1
KM-POL-000154,CA,Expired,2022-10-01,2023-10-01,OH,7210,6436.14,Insured A-154,AG002,UW103,4
KM-POL-000155,GL,In Force,2023-03-29,2024-03-28,PA,58483,28573.44,Insured A-155,AG012,UW102,0
KM-POL-000156,WC,In Force,2023-02-04,2024-02-04,PA,7380,4394.87,Insured A-156,AG005,UW104,1
KM-POL-000157,CA,In Force,2023-06-17,2024-06-16,PA,7210,3956.53,Insured A-157,AG001,UW102,1
KM-POL-000158,CA,Expired,2023-11-26,2024-11-25,NJ,7220,6309.85,Insured A-158,AG012,UW103,0
KM-POL-000159,WC,Cancelled,2023-07-14,2024-07-13,NJ,7380,9479.4,Insured A-159,AG005,UW104,3
KM-POL-000160,CA,In Force,2021-09-05,2022-09-05,NY,7220,2726.07,Insured A-160,AG012,UW101,2
KM-POL-000161,WC,Expired,2022-05-23,2023-05-23,NY,5191,24281.89,Insured A-161,AG003,UW104,2
KM-POL-000162,CA,Cancelled,2022-04-06,2023-04-06,NY,7220,19772.05,Insured A-162,AG003,UW103,1
KM-POL-000163,CA,In Force,2021-05-12,2022-05-12,NJ,7210,5528.54,Insured A-163,AG003,UW104,1
KM-POL-000164,CA,In Force,2022-11-24,2023-11-24,OH,7219,2857.09,Insured A-164,AG003,UW101,0
KM-POL-000165,WC,Expired,2021-02-13,2022-02-13,NJ,9015,2866.46,Insured A-165,AG002,UW101,2
KM-POL-000166,GL,Expired,2022-04-17,2023-04-17,MD,91580,7947.27,Insured A-166,AG003,UW104,1
KM-POL-000167,WC,Expired,2022-03-28,2023-03-28,NY,5183,23935.11,Insured A-167,AG015,UW101,3
KM-POL-000168,WC,In Force,2021-01-15,2022-01-15,PA,9015,14474.36,Insured A-168,AG003,UW102,0
KM-POL-000169,WC,In Force,2021-05-26,2022-05-26,NY,9015,9878.11,Insured A-169,AG015,UW104,0
KM-POL-000170,CA,In Force,2021-05-01,2022-05-01,NJ,7220,3451.06,Insured A-170,AG002,UW101,2
KM-POL-000171,CA,In Force,2022-04-14,2023-04-14,NY,7210,2552.18,Insured A-171,AG003,UW101,3
KM-POL-000172,WC,In Force,2021-05-19,2022-05-19,PA,8742,19298.86,Insured A-172,AG005,UW104,1
KM-POL-000173,CA,Expired,2021-03-06,2022-03-06,PA,7230,8503.75,Insured A-173,AG005,UW102,3
KM-POL-000174,WC,In Force,2022-11-08,2023-11-08,OH,8742,2873.87,Insured A-174,AG004,UW104,5
KM-POL-000175,CA,Expired,2021-05-26,2022-05-26,PA,7230,12757.87,Insured A-175,AG005,UW101,5
KM-POL-000176,WC,In Force,2023-11-19,2024-11-18,OH,8017,15666.14,Insured A-176,AG001,UW104,3
KM-POL-000177,CA,Expired,2022-05-03,2023-05-03,PA,7219,11381.64,Insured A-177,AG001,UW101,3
KM-POL-000178,WC,In Force,2022-07-25,2023-07-25,NY,5183,3382.25,Insured A-178,AG001,UW103,0
KM-POL-000179,GL,In Force,2023-09-22,2024-09-21,NY,97047,2550.19,Insured A-179,AG002,UW104,3
KM-POL-000180,WC,In Force,2022-03-15,2023-03-15,DE,8810,8785.21,Insured A-180,AG005,UW104,1
KM-POL-000181,WC,Cancelled,2021-09-28,2022-09-28,NJ,9015,14797.71,Insured A-181,AG015,UW101,5
KM-POL-000182,WC,Expired,2023-08-27,2024-08-26,PA,8017,41651.33,Insured A-182,AG001,UW101,0
KM-POL-000183,GL,In Force,2022-05-13,2023-05-13,PA,58483,10875.36,Insured A-183,AG004,UW101,1
KM-POL-000184,GL,In Force,2023-08-27,2024-08-26,NJ,41677,5597.77,Insured A-184,AG002,UW101,2
KM-POL-000185,WC,Cancelled,2023-04-14,2024-04-13,NY,5191,4354.24,Insured A-185,AG004,UW104,1
KM-POL-000186,CA,In Force,2022-01-25,2023-01-25,MD,7210,10280.46,Insured A-186,AG005,UW101,0
KM-POL-000187,GL,In Force,2021-07-13,2022-07-13,OH,41677,3376.88,Insured A-187,AG003,UW104,2
KM-POL-000188,CA,Expired,2021-07-18,2022-07-18,NY,7219,13057.02,Insured A-188,AG004,UW102,3
KM-POL-000189,CA,Cancelled,2023-06-02,2024-06-01,NY,7220,4143.8,Insured A-189,AG003,UW104,2
KM-POL-000190,WC,In Force,2022-12-27,2023-12-27,NY,7380,35329.22,Insured A-190,AG002,UW101,0
KM-POL-000191,WC,In Force,2023-05-18,2024-05-17,PA,7380,17037.04,Insured A-191,AG004,UW101,3
KM-POL-000192,GL,Cancelled,2023-04-22,2024-04-21,MD,58483,6027.59,Insured A-192,AG004,UW102,1
KM-POL-000193,GL,In Force,2023-08-15,2024-08-14,NY,91580,4612.03,Insured A-193,AG012,UW104,0
KM-POL-000194,CA,In Force,2021-04-21,2022-04-21,DE,7220,4005.63,Insured A-194,AG002,UW102,2
KM-POL-000195,WC,Expired,2021-07-21,2022-07-21,PA,7380,13941.89,Insured A-195,AG002,UW104,3
KM-POL-000196,WC,Expired,2021-05-05,2022-05-05,NJ,5191,10527.28,Insured A-196,AG001,UW101,1
KM-POL-000197,CA,In Force,2023-04-05,2024-04-04,NJ,7230,3441.67,Insured A-197,AG005,UW104,2
KM-POL-000198,GL,Cancelled,2022-11-26,2023-11-26,OH,41677,5907.97,Insured A-198,AG004,UW101,1
KM-POL-000199,GL,Expired,2021-08-12,2022-08-12,DE,58483,7009.38,Insured A-199,AG004,UW101,1
KM-POL-000200,CA,In Force,2022-05-25,2023-05-25,NJ,7220,1370.27,Insured A-200,AG015,UW103,0
KM-POL-000201,CA,Cancelled,2022-01-28,2023-01-28,MD,7219,6469.8,Insured A-201,AG002,UW103,5
KM-POL-000202,WC,In Force,2022-01-25,2023-01-25,PA,8017,4519.8,Insured A-202,AG002,UW104,3
KM-POL-000203,WC,In Force,2023-07-08,2024-07-07,NJ,7380,3933.69,Insured A-203,AG005,UW101,2
KM-POL-000204,GL,Expired,2021-10-15,2022-10-15,PA,91580,2036.24,Insured A-204,AG002,UW102,2
KM-POL-000205,CA,In Force,2023-05-15,2024-05-14,NY,7220,1675.16,Insured A-205,AG003,UW101,3
KM-POL-000206,WC,In Force,2022-01-11,2023-01-11,MD,8017,3346.41,Insured A-206,AG003,UW102,1
KM-POL-000207,WC,In Force,2022-07-25,2023-07-25,PA,9015,5612.68,Insured A-207,AG012,UW104,1
KM-POL-000208,CA,In Force,2023-08-06,2024-08-05,OH,7220,15866.35,Insured A-208,AG003,UW104,0
KM-POL-000209,WC,Expired,2022-05-27,2023-05-27,PA,5183,6498.3,Insured A-209,AG003,UW102,2
KM-POL-000210,WC,Expired,2021-06-04,2022-06-04,MD,8742,11409.48,Insured A-210,AG005,UW102,4
KM-POL-000211,CA,Cancelled,2023-06-27,2024-06-26,NY,7230,6249.7,Insured A-211,AG004,UW101,0
KM-POL-000212,CA,In Force,2021-07-20,2022-07-20,OH,7230,5316.86,Insured A-212,AG003,UW104,0
KM-POL-000213,CA,In Force,2021-04-14,2022-04-14,PA,7210,4691.62,Insured A-213,AG012,UW101,1
KM-POL-000214,WC,In Force,2021-01-31,2022-01-31,MD,5183,3803.83,Insured A-214,AG002,UW102,3
KM-POL-000215,CA,In Force,2021-07-11,2022-07-11,NY,7230,11737.65,Insured A-215,AG003,UW103,1
KM-POL-000216,WC,In Force,2022-04-30,2023-04-30,NJ,5191,42013.96,Insured A-216,AG012,UW103,1
KM-POL-000217,WC,Expired,2021-12-07,2022-12-07,OH,5191,2575.69,Insured A-217,AG005,UW103,2
KM-POL-000218,CA,Cancelled,2023-04-13,2024-04-12,PA,7230,2658.67,Insured A-218,AG015,UW102,2
KM-POL-000219,CA,Cancelled,2023-09-22,2024-09-21,OH,7210,4155.19,Insured A-219,AG015,UW101,0
KM-POL-000220,GL,In Force,2023-09-13,2024-09-12,PA,91580,3377.27,Insured A-220,AG015,UW104,0
KM-POL-000221,CA,Expired,2022-03-14,2023-03-14,NY,7219,6658.03,Insured A-221,AG002,UW102,2
KM-POL-000222,CA,In Force,2023-04-02,2024-04-01,DE,7210,3174.92,Insured A-222,AG012,UW103,1
KM-POL-000223,WC,In Force,2021-05-01,2022-05-01,PA,7380,55940.55,Insured A-223,AG003,UW101,5
KM-POL-000224,WC,Expired,2021-12-04,2022-12-04,PA,7380,25653.59,Insured A-224,AG004,UW104,2
KM-POL-000225,WC,Expired,2023-02-16,2024-02-16,PA,5191,11731.81,Insured A-225,AG002,UW104,0
KM-POL-000226,WC,In Force,2021-01-05,2022-01-05,NJ,8742,22507.17,Insured A-226,AG002,UW102,1
KM-POL-000227,GL,In Force,2023-03-11,2024-03-10,NJ,97047,14387.72,Insured A-227,AG015,UW102,1
KM-POL-000228,WC,In Force,2022-06-28,2023-06-28,DE,5191,6303.38,Insured A-228,AG004,UW104,0
KM-POL-000229,GL,Expired,2023-07-21,2024-07-20,PA,91580,3746.76,Insured A-229,AG015,UW104,4
KM-POL-000230,CA,In Force,2022-08-08,2023-08-08,PA,7219,5150.69,Insured A-230,AG002,UW103,3
KM-POL-000231,CA,Cancelled,2023-05-17,2024-05-16,NY,7220,8241.86,Insured A-231,AG003,UW104,0
KM-POL-000232,CA,In Force,2023-09-24,2024-09-23,PA,7220,5342.43,Insured A-232,AG015,UW102,1
KM-POL-000233,CA,In Force,2021-11-14,2022-11-14,MD,7219,1907.98,Insured A-233,AG015,UW101,0
KM-POL-000234,CA,In Force,2022-01-24,2023-01-24,OH,7230,3036.03,Insured A-234,AG015,UW103,1
KM-POL-000235,WC,In Force,2022-08-31,2023-08-31,NY,9015,9328.43,Insured A-235,AG002,UW103,2
KM-POL-000236,CA,In Force,2022-03-22,2023-03-22,DE,7210,4696.63,Insured A-236,AG003,UW104,1
KM-POL-000237,WC,Expired,2021-04-30,2022-04-30,OH,5191,47955.74,Insured A-237,AG004,UW101,5
