ClaimNumber,PolicyNumber,ClaimStatus,LossDate,ReportDate,CauseOfLoss,LossState,ClaimantCount,AdjusterID,LitigationFlag,FraudIndicator
KM-CLM-000060,KM-POL-001980,Closed,2023-03-13,2023-04-25,Product Defect,NJ,3,ADJ-A05,N,N
KM-CLM-000061,KM-POL-001738,Open,2022-03-18,2022-03-20,Repetitive Motion,NY,2,ADJ-A05,N,
KM-CLM-000062,KM-POL-001346,Closed,2023-07-28,2023-08-20,Repetitive Motion,NY,2,ADJ-A01,N,N
KM-CLM-000063,KM-POL-000344,Closed,2023-01-05,2023-01-20,Motor Vehicle,NJ,1,ADJ-A01,Y,N
KM-CLM-000064,KM-POL-001739,Closed,2022-07-25,2022-09-04,Burn,NY,1,ADJ-A03,N,N
KM-CLM-000065,KM-POL-000536,Closed,2023-10-13,2023-10-13,Slip and Fall,OH,1,ADJ-A04,N,N
KM-CLM-000066,KM-POL-000355,Closed,2024-04-09,2024-04-19,Repetitive Motion,NY,2,ADJ-A05,N,N
KM-CLM-000067,KM-POL-001495,Closed,2022-07-18,2022-07-23,Head On,NY,2,ADJ-A03,N,N
KM-CLM-000068,KM-POL-000928,Open,2024-02-28,2024-03-16,Parking,MD,2,ADJ-A03,N,N
KM-CLM-000069,KM-POL-000983,Closed,2022-09-05,2022-09-30,Strain,NY,1,ADJ-A05,N,N
KM-CLM-000070,KM-POL-000105,Closed,2023-12-25,2024-01-16,Property Damage,NY,1,ADJ-A05,N,N
KM-CLM-000071,KM-POL-001811,Closed,2024-10-07,2024-11-18,Single Vehicle,NY,1,ADJ-A02,Y,N
KM-CLM-000072,KM-POL-001346,Open,2022-11-11,2022-12-06,Strain,NY,1,ADJ-A04,N,N
KM-CLM-000073,KM-POL-001596,Closed,2022-08-03,2022-08-28,Intersection,NY,1,ADJ-A05,Y,
KM-CLM-000074,KM-POL-001907,Open,2022-07-06,2022-08-12,Advertising Injury,DE,1,ADJ-A01,N,N
KM-CLM-000075,KM-POL-000962,Open,2022-10-12,2022-10-24,Single Vehicle,NJ,2,ADJ-A02,Y,N
KM-CLM-000076,KM-POL-000527,Open,2023-09-15,2023-10-18,Fall,PA,1,ADJ-A04,N,N
KM-CLM-000077,KM-POL-000504,Open,2021-09-04,2021-09-04,Property Damage,MD,1,ADJ-A01,N,N
KM-CLM-000078,KM-POL-001109,Closed,2021-09-20,2021-11-04,Single Vehicle,DE,3,ADJ-A01,N,N
KM-CLM-000079,KM-POL-000931,Closed,2022-11-27,2022-12-01,Repetitive Motion,DE,1,ADJ-A04,N,N
KM-CLM-000080,KM-POL-000709,Open,2022-10-26,2022-10-31,Fall,PA,1,ADJ-A02,N,N
KM-CLM-000081,KM-POL-000235,Reopened,2023-03-31,2023-05-05,Fall,NY,1,ADJ-A01,N,N
KM-CLM-000082,KM-POL-001947,Reopened,2022-08-29,2022-09-16,Strain,NY,1,ADJ-A03,N,N
KM-CLM-000083,KM-POL-001880,Reopened,2023-07-05,2023-08-09,Head On,PA,1,ADJ-A04,N,N
KM-CLM-000084,KM-POL-001287,Closed,2022-07-09,2022-08-15,Repetitive Motion,NJ,1,ADJ-A04,N,N
KM-CLM-000085,KM-POL-001030,Closed,2022-09-10,2022-10-02,Bodily Injury,NY,1,ADJ-A05,N,N
KM-CLM-000086,KM-POL-000494,Open,2023-01-11,2023-02-02,Cut/Laceration,NJ,1,ADJ-A02,N,N
KM-CLM-000087,KM-POL-001917,Closed,2024-04-12,2024-04-29,Advertising Injury,NY,1,ADJ-A03,N,N
KM-CLM-000088,KM-POL-001313,Closed,2024-03-05,2024-03-19,Single Vehicle,NY,2,ADJ-A03,N,N
KM-CLM-000089,KM-POL-001594,Closed,2022-08-19,2022-09-26,Burn,DE,1,ADJ-A05,N,N
KM-CLM-000090,KM-POL-001969,Reopened,2024-09-18,2024-09-30,Strain,DE,2,ADJ-A01,N,N
KM-CLM-000091,KM-POL-001681,Closed,2022-08-19,2022-09-17,Fall,NY,1,ADJ-A01,N,
KM-CLM-000092,KM-POL-000878,Closed,2024-02-20,2024-03-16,Parking,PA,1,ADJ-A03,N,N
KM-CLM-000093,KM-POL-001578,Open,2023-09-02,2023-10-08,Intersection,NJ,2,ADJ-A02,Y,N
KM-CLM-000094,KM-POL-001374,Open,2023-11-10,2023-11-10,Parking,NY,1,ADJ-A01,N,Y
KM-CLM-000095,KM-POL-001224,Closed,2022-01-19,2022-02-04,Product Defect,PA,1,ADJ-A04,N,N
KM-CLM-000096,KM-POL-001960,Closed,2022-07-05,2022-07-16,Sideswipe,PA,1,ADJ-A05,N,N
KM-CLM-000097,KM-POL-001710,Closed,2023-05-27,2023-06-22,Intersection,MD,1,ADJ-A02,N,N
KM-CLM-000098,KM-POL-000967,Closed,2021-10-29,2021-11-30,Rear End Collision,NY,2,ADJ-A01,N,N
KM-CLM-000099,KM-POL-000966,Reopened,2022-05-13,2022-05-19,Cut/Laceration,NY,2,ADJ-A03,N,N
KM-CLM-000100,KM-POL-000964,Closed,2023-01-31,2023-03-07,Burn,MD,1,ADJ-A05,N,N
KM-CLM-000101,KM-POL-000897,Closed,2023-01-11,2023-01-15,Repetitive Motion,DE,1,ADJ-A01,N,N
KM-CLM-000102,KM-POL-001359,Open,2023-02-12,2023-03-16,Strain,OH,1,ADJ-A03,N,
KM-CLM-000103,KM-POL-001631,Closed,2024-07-03,2024-07-21,Single Vehicle,NY,3,ADJ-A01,N,N
KM-CLM-000104,KM-POL-000217,Closed,2022-09-29,2022-10-20,Cut/Laceration,OH,2,ADJ-A05,N,N
KM-CLM-000105,KM-POL-000623,Open,2021-04-19,2021-04-26,Struck By,NJ,2,ADJ-A04,N,N
KM-CLM-000106,KM-POL-000353,Open,2022-06-05,2022-07-07,Rear End Collision,NY,1,ADJ-A04,Y,N
KM-CLM-000107,KM-POL-000692,Reopened,2021-07-06,2021-07-22,Cut/Laceration,DE,2,ADJ-A03,N,N
KM-CLM-000108,KM-POL-000675,Open,2021-10-19,2021-11-22,Burn,OH,1,ADJ-A04,N,N
KM-CLM-000109,KM-POL-000631,Closed,2024-08-04,2024-09-09,Parking,NY,1,ADJ-A05,Y,N
KM-CLM-000110,KM-POL-000325,Closed,2024-04-02,2024-04-18,Product Defect,OH,2,ADJ-A03,N,N
KM-CLM-000111,KM-POL-000901,Closed,2024-04-13,2024-05-27,Motor Vehicle,PA,1,ADJ-A01,Y,N
KM-CLM-000112,KM-POL-001252,Closed,2023-11-10,2023-12-08,Sideswipe,PA,3,ADJ-A02,N,N
KM-CLM-000113,KM-POL-001169,Closed,2023-04-09,2023-05-03,Cut/Laceration,NY,1,ADJ-A01,N,N
KM-CLM-000114,KM-POL-001973,Closed,2022-01-27,2022-03-04,Burn,PA,2,ADJ-A05,N,N
KM-CLM-000115,KM-POL-000308,Reopened,2023-12-18,2024-01-17,Fall,NY,1,ADJ-A03,N,N
KM-CLM-000116,KM-POL-000654,Closed,2022-12-07,2022-12-22,Parking,PA,1,ADJ-A01,N,N
KM-CLM-000117,KM-POL-001658,Closed,2024-03-15,2024-04-05,Cut/Laceration,DE,1,ADJ-A03,N,N
KM-CLM-000118,KM-POL-000285,Closed,2022-03-27,2022-04-25,Head On,PA,1,ADJ-A04,N,N
KM-CLM-000119,KM-POL-000392,Open,2023-06-05,2023-07-18,Burn,PA,1,ADJ-A02,N,N
KM-CLM-000120,KM-POL-001762,Closed,2023-10-06,2023-11-04,Product Defect,NY,1,ADJ-A05,N,N
KM-CLM-000121,KM-POL-000360,Closed,2021-08-12,2021-09-18,Single Vehicle,PA,1,ADJ-A01,N,N
KM-CLM-000122,KM-POL-000769,Open,2024-01-19,2024-01-20,Burn,DE,1,ADJ-A02,N,
KM-CLM-000123,KM-POL-000797,Open,2024-07-08,2024-08-07,Advertising Injury,PA,1,ADJ-A05,Y,N
KM-CLM-000124,KM-POL-000932,Open,2021-03-29,2021-04-05,Product Defect,NY,1,ADJ-A05,N,N
KM-CLM-000125,KM-POL-001971,Closed,2021-09-05,2021-09-21,Fall,MD,2,ADJ-A04,N,Y
KM-CLM-000126,KM-POL-000165,Closed,2021-09-12,2021-09-16,Strain,NJ,2,ADJ-A03,N,N
KM-CLM-000127,KM-POL-000733,Open,2022-03-30,2022-04-23,Intersection,PA,1,ADJ-A03,N,N
KM-CLM-000128,KM-POL-000581,Closed,2024-12-20,2025-01-29,Parking,PA,1,ADJ-A02,N,N
KM-CLM-000129,KM-POL-000821,Reopened,2022-03-29,2022-04-12,Property Damage,MD,2,ADJ-A04,N,N
KM-CLM-000130,KM-POL-001248,Open,2021-07-11,2021-08-23,Repetitive Motion,NJ,1,ADJ-A05,N,N
KM-CLM-000131,KM-POL-000124,Closed,2024-10-30,2024-12-13,Burn,NJ,1,ADJ-A04,N,N
KM-CLM-000132,KM-POL-001972,Reopened,2024-01-06,2024-01-20,Slip and Fall,DE,1,ADJ-A04,N,N
KM-CLM-000133,KM-POL-000344,Reopened,2023-04-21,2023-05-11,Strain,NJ,1,ADJ-A02,Y,N
KM-CLM-000134,KM-POL-001875,Open,2023-05-19,2023-06-14,Head On,PA,1,ADJ-A03,Y,N
KM-CLM-000135,KM-POL-000524,Open,2023-12-26,2024-01-17,Bodily Injury,NJ,1,ADJ-A04,N,N
KM-CLM-000136,KM-POL-001076,Open,2023-11-23,2023-12-26,Cut/Laceration,OH,1,ADJ-A04,N,N
KM-CLM-000137,KM-POL-000129,Closed,2024-04-12,2024-05-16,Struck By,OH,1,ADJ-A04,N,N
KM-CLM-000138,KM-POL-001159,Closed,2021-11-11,2021-11-11,Property Damage,OH,1,ADJ-A01,N,N
KM-CLM-000139,KM-POL-000657,Closed,2022-05-02,2022-06-15,Fall,OH,1,ADJ-A04,N,N
KM-CLM-000140,KM-POL-001151,Closed,2022-07-24,2022-08-09,Intersection,NY,1,ADJ-A04,N,N
KM-CLM-000141,KM-POL-000738,Open,2022-08-24,2022-09-08,Property Damage,DE,1,ADJ-A05,N,N
KM-CLM-000142,KM-POL-000939,Closed,2023-01-31,2023-02-18,Burn,MD,2,ADJ-A01,N,N
KM-CLM-000143,KM-POL-000071,Closed,2022-04-11,2022-04-16,Head On,NY,1,ADJ-A04,N,N
KM-CLM-000144,KM-POL-000273,Closed,2024-01-20,2024-02-14,Slip and Fall,NJ,1,ADJ-A04,N,N
KM-CLM-000145,KM-POL-001211,Closed,2023-02-25,2023-04-09,Motor Vehicle,PA,1,ADJ-A02,N,N
KM-CLM-000146,KM-POL-001027,Closed,2023-09-24,2023-10-15,Property Damage,MD,1,ADJ-A02,N,N
KM-CLM-000147,KM-POL-001309,Open,2024-11-03,2024-11-07,Fall,NJ,1,ADJ-A01,N,N
KM-CLM-000148,KM-POL-000022,Open,2021-12-12,2022-01-16,Struck By,DE,1,ADJ-A05,N,N
KM-CLM-000149,KM-POL-000166,Open,2022-07-17,2022-07-28,Advertising Injury,MD,2,ADJ-A01,N,N
KM-CLM-000150,KM-POL-001334,Open,2022-03-06,2022-04-05,Bodily Injury,PA,1,ADJ-A01,N,N
KM-CLM-000151,KM-POL-000875,Closed,2022-04-28,2022-05-18,Burn,NY,2,ADJ-A02,Y,N
KM-CLM-000152,KM-POL-001501,Open,2022-05-09,2022-05-31,Sideswipe,PA,1,ADJ-A02,Y,N
KM-CLM-000153,KM-POL-000498,Open,2023-01-20,2023-02-02,Cut/Laceration,OH,3,ADJ-A05,N,N
KM-CLM-000154,KM-POL-000434,Closed,2022-04-12,2022-05-18,Strain,PA,2,ADJ-A04,N,N
KM-CLM-000155,KM-POL-000758,Closed,2022-03-21,2022-04-07,Sideswipe,OH,3,ADJ-A05,N,N
KM-CLM-000156,KM-POL-000234,Closed,2022-03-24,2022-04-04,Sideswipe,OH,1,ADJ-A04,Y,N
KM-CLM-000157,KM-POL-000837,Closed,2023-08-24,2023-10-06,Property Damage,MD,1,ADJ-A03,N,N
KM-CLM-000158,KM-POL-001694,Closed,2024-10-11,2024-10-23,Fall,PA,2,ADJ-A02,N,
KM-CLM-000159,KM-POL-000663,Reopened,2023-04-05,2023-05-06,Head On,PA,2,ADJ-A03,N,N
KM-CLM-000160,KM-POL-000725,Open,2024-05-05,2024-05-17,Rear End Collision,NJ,3,ADJ-A03,N,N
KM-CLM-000161,KM-POL-000376,Closed,2022-01-06,2022-01-21,Strain,PA,1,ADJ-A02,Y,N
KM-CLM-000162,KM-POL-000730,Reopened,2023-07-21,2023-08-05,Repetitive Motion,NJ,2,ADJ-A03,N,N
KM-CLM-000163,KM-POL-001270,Closed,2022-06-09,2022-06-25,Strain,NY,1,ADJ-A01,N,Y
KM-CLM-000164,KM-POL-000303,Open,2024-06-02,2024-06-15,Sideswipe,DE,1,ADJ-A04,N,N
KM-CLM-000165,KM-POL-000405,Closed,2022-08-29,2022-09-12,Burn,NY,1,ADJ-A05,N,
KM-CLM-000166,KM-POL-001812,Open,2024-04-23,2024-05-05,Sideswipe,NJ,1,ADJ-A02,Y,N
KM-CLM-000167,KM-POL-001687,Closed,2022-12-29,2023-01-13,Property Damage,MD,2,ADJ-A01,N,N
KM-CLM-000168,KM-POL-000708,Closed,2024-01-28,2024-03-07,Slip and Fall,PA,1,ADJ-A05,N,N
KM-CLM-000169,KM-POL-000917,Closed,2023-12-30,2024-01-21,Struck By,NY,1,ADJ-A05,Y,N
KM-CLM-000170,KM-POL-000021,Closed,2023-04-17,2023-04-26,Head On,MD,1,ADJ-A05,N,N
KM-CLM-000171,KM-POL-000257,Closed,2021-08-10,2021-08-16,Slip and Fall,DE,1,ADJ-A03,N,
KM-CLM-000172,KM-POL-000399,Closed,2023-11-17,2023-11-24,Intersection,NY,1,ADJ-A03,N,N
KM-CLM-000173,KM-POL-001553,Closed,2024-01-01,2024-01-06,Bodily Injury,DE,1,ADJ-A03,N,N
KM-CLM-000174,KM-POL-000051,Closed,2021-10-08,2021-11-20,Bodily Injury,NJ,1,ADJ-A03,N,N
KM-CLM-000175,KM-POL-000447,Open,2021-11-26,2022-01-07,Slip and Fall,PA,2,ADJ-A01,N,N
KM-CLM-000176,KM-POL-001294,Closed,2022-12-07,2023-01-07,Intersection,DE,3,ADJ-A03,N,Y
KM-CLM-000177,KM-POL-000827,Open,2023-11-15,2023-12-24,Fall,NY,1,ADJ-A02,N,N
KM-CLM-000178,KM-POL-000595,Closed,2023-09-21,2023-09-21,Advertising Injury,PA,1,ADJ-A05,Y,N
KM-CLM-000179,KM-POL-000818,Reopened,2023-02-12,2023-03-18,Fall,PA,1,ADJ-A01,N,N
KM-CLM-000180,KM-POL-000636,Closed,2022-11-16,2022-11-18,Fall,NY,1,ADJ-A03,N,N
KM-CLM-000181,KM-POL-001826,Closed,2023-01-30,2023-03-01,Single Vehicle,PA,1,ADJ-A05,N,N
KM-CLM-000182,KM-POL-001286,Open,2023-04-13,2023-05-06,Single Vehicle,PA,1,ADJ-A01,N,N
KM-CLM-000183,KM-POL-001389,Open,2021-12-02,2022-01-10,Property Damage,PA,1,ADJ-A05,N,Y
KM-CLM-000184,KM-POL-001073,Closed,2021-05-07,2021-05-27,Burn,NJ,3,ADJ-A01,Y,N
KM-CLM-000185,KM-POL-001542,Open,2021-04-16,2021-05-17,Cut/Laceration,OH,1,ADJ-A04,N,N
KM-CLM-000186,KM-POL-001653,Closed,2024-08-03,2024-09-08,Burn,OH,1,ADJ-A01,N,N
KM-CLM-000187,KM-POL-001142,Open,2021-12-04,2021-12-21,Repetitive Motion,MD,3,ADJ-A03,N,N
KM-CLM-000188,KM-POL-001477,Closed,2022-08-14,2022-09-14,Product Defect,MD,1,ADJ-A05,Y,Y
KM-CLM-000189,KM-POL-000775,Open,2024-07-08,2024-07-19,Head On,DE,1,ADJ-A05,Y,
KM-CLM-000190,KM-POL-001889,Reopened,2023-03-05,2023-04-06,Head On,NY,1,ADJ-A05,N,N
KM-CLM-000191,KM-POL-000973,Closed,2022-01-03,2022-01-20,Head On,NY,3,ADJ-A02,N,
KM-CLM-000192,KM-POL-001971,Closed,2022-02-13,2022-03-10,Strain,MD,1,ADJ-A02,N,N
KM-CLM-000193,KM-POL-001910,Open,2024-02-14,2024-02-28,Cut/Laceration,NJ,2,ADJ-A03,N,N
KM-CLM-000194,KM-POL-001665,Closed,2023-08-23,2023-09-28,Advertising Injury,DE,1,ADJ-A04,N,N
KM-CLM-000195,KM-POL-000397,Open,2022-08-24,2022-09-01,Advertising Injury,PA,1,ADJ-A02,N,N
KM-CLM-000196,KM-POL-000683,Closed,2024-06-02,2024-06-05,Strain,PA,1,ADJ-A01,N,N
KM-CLM-000197,KM-POL-001051,Closed,2023-11-12,2023-12-15,Property Damage,PA,1,ADJ-A03,N,N
KM-CLM-000198,KM-POL-000711,Closed,2023-08-15,2023-09-11,Sideswipe,NY,2,ADJ-A04,N,N
KM-CLM-000199,KM-POL-001396,Closed,2022-08-26,2022-09-25,Slip and Fall,MD,1,ADJ-A01,N,N
KM-CLM-000200,KM-POL-001923,Closed,2024-03-19,2024-04-22,Intersection,NY,1,ADJ-A05,N,Y
KM-CLM-000201,KM-POL-001850,Reopened,2023-02-03,2023-02-05,Sideswipe,PA,1,ADJ-A02,N,N
KM-CLM-000202,KM-POL-001881,Reopened,2022-11-17,2022-12-19,Head On,DE,2,ADJ-A01,N,N
KM-CLM-000203,KM-POL-001121,Closed,2024-05-22,2024-06-13,Advertising Injury,PA,1,ADJ-A04,N,N
KM-CLM-000204,KM-POL-000529,Closed,2023-12-29,2024-01-23,Struck By,PA,2,ADJ-A03,N,N
KM-CLM-000205,KM-POL-000685,Closed,2024-06-10,2024-07-23,Slip and Fall,NJ,1,ADJ-A01,N,N
KM-CLM-000206,KM-POL-001998,Open,2023-09-04,2023-09-15,Cut/Laceration,NJ,1,ADJ-A03,N,N
KM-CLM-000207,KM-POL-000613,Closed,2023-11-03,2023-12-02,Head On,PA,1,ADJ-A05,N,N
KM-CLM-000208,KM-POL-000186,Closed,2022-08-08,2022-08-15,Rear End Collision,MD,1,ADJ-A04,N,N
KM-CLM-000209,KM-POL-000696,Open,2021-11-04,2021-12-18,Rear End Collision,DE,1,ADJ-A04,N,N
KM-CLM-000210,KM-POL-001974,Open,2022-08-15,2022-09-17,Parking,NY,1,ADJ-A02,N,N
KM-CLM-000211,KM-POL-000215,Closed,2022-06-26,2022-07-25,Head On,NY,1,ADJ-A04,N,N
KM-CLM-000212,KM-POL-001275,Closed,2023-04-23,2023-05-13,Intersection,OH,3,ADJ-A01,N,N
KM-CLM-000213,KM-POL-000216,Closed,2023-02-06,2023-03-22,Repetitive Motion,NJ,1,ADJ-A01,N,N
KM-CLM-000214,KM-POL-000029,Closed,2022-12-18,2022-12-18,Head On,PA,1,ADJ-A01,N,N
KM-CLM-000215,KM-POL-000102,Closed,2021-05-17,2021-05-17,Intersection,DE,1,ADJ-A05,N,
KM-CLM-000216,KM-POL-000123,Closed,2023-01-10,2023-02-22,Motor Vehicle,MD,1,ADJ-A04,N,N
KM-CLM-000217,KM-POL-000054,Closed,2023-10-29,2023-11-11,Slip and Fall,MD,1,ADJ-A04,N,N
KM-CLM-000218,KM-POL-001307,Closed,2022-03-09,2022-04-02,Rear End Collision,NJ,1,ADJ-A01,N,N
KM-CLM-000219,KM-POL-001638,Open,2023-04-01,2023-05-08,Struck By,PA,1,ADJ-A02,N,N
KM-CLM-000220,KM-POL-001141,Closed,2021-09-10,2021-09-16,Bodily Injury,NJ,1,ADJ-A02,Y,N
KM-CLM-000221,KM-POL-000616,Open,2024-08-15,2024-09-04,Product Defect,PA,1,ADJ-A04,N,N
KM-CLM-000222,KM-POL-000557,Closed,2022-09-11,2022-10-04,Cut/Laceration,DE,1,ADJ-A04,N,N
KM-CLM-000223,KM-POL-000114,Reopened,2024-06-07,2024-07-16,Advertising Injury,OH,1,ADJ-A03,N,N
KM-CLM-000224,KM-POL-000855,Open,2023-10-09,2023-10-25,Repetitive Motion,PA,1,ADJ-A04,Y,N
KM-CLM-000225,KM-POL-001567,Closed,2023-03-01,2023-03-12,Rear End Collision,DE,1,ADJ-A01,Y,Y
KM-CLM-000226,KM-POL-000676,Closed,2022-02-17,2022-03-24,Property Damage,PA,1,ADJ-A05,N,N
KM-CLM-000227,KM-POL-000977,Closed,2022-10-01,2022-10-17,Parking,OH,1,ADJ-A04,N,N
KM-CLM-000228,KM-POL-000701,Closed,2023-03-28,2023-04-12,Single Vehicle,DE,1,ADJ-A04,N,N
KM-CLM-000229,KM-POL-001317,Closed,2022-11-19,2022-12-06,Single Vehicle,NJ,1,ADJ-A01,N,N
