TransactionID,ClaimNumber,TransactionType,CostType,Amount,TransactionDate,CheckNumber
KM-TXN-000030,KM-CLM-000271,Payment,Legal,875.18,2022-10-24,CHK-373363
KM-TXN-000031,KM-CLM-000121,Reserve,Legal,554.96,2023-10-05,
KM-TXN-000032,KM-CLM-000407,Reserve Change,Medical,456.63,2023-12-25,
KM-TXN-000033,KM-CLM-000245,Payment,Indemnity,3596.19,2022-06-10,CHK-157287
KM-TXN-000034,KM-CLM-000066,Payment,Indemnity,1535.89,2023-11-16,CHK-381351
KM-TXN-000035,KM-CLM-000228,Payment,Medical,7098.93,2023-05-26,CHK-609089
KM-TXN-000036,KM-CLM-000137,Payment,Expense,4737.91,2024-01-16,CHK-863559
KM-TXN-000037,KM-CLM-000194,Payment,Expense,6921.68,2024-03-25,CHK-329583
KM-TXN-000038,KM-CLM-000706,Payment,Legal,4631.02,2023-01-09,CHK-456349
KM-TXN-000039,KM-CLM-000658,Payment,Indemnity,2399.55,2022-12-17,CHK-767173
KM-TXN-000040,KM-CLM-000657,Recovery,Deductible,-191.74,2023-10-25,
KM-TXN-000041,KM-CLM-000489,Reserve,Expense,2924.28,2024-05-02,
KM-TXN-000042,KM-CLM-000584,Reserve,Legal,2278.74,2022-09-12,
KM-TXN-000043,KM-CLM-000354,Payment,Medical,622.54,2023-02-16,CHK-958285
KM-TXN-000044,KM-CLM-000704,Reserve Change,Legal,-2874.05,2021-11-26,
KM-TXN-000045,KM-CLM-000556,Reserve,Medical,546.39,2023-02-16,
KM-TXN-000046,KM-CLM-000157,Reserve,Indemnity,18507.19,2023-09-11,
KM-TXN-000047,KM-CLM-000476,Payment,Indemnity,507.4,2023-03-03,CHK-147844
KM-TXN-000048,KM-CLM-000016,Payment,Expense,4797.89,2021-12-02,CHK-423496
KM-TXN-000049,KM-CLM-000078,Payment,Legal,8884.74,2021-11-10,CHK-569380
KM-TXN-000050,KM-CLM-000052,Reserve,Indemnity,1557.4,2021-11-05,
KM-TXN-000051,KM-CLM-000514,Reserve,Expense,2139.32,2022-10-05,
KM-TXN-000052,KM-CLM-000504,Reserve Change,Legal,2492.72,2021-12-09,
KM-TXN-000053,KM-CLM-000744,Payment,Legal,1070.86,2022-05-05,CHK-529718
KM-TXN-000054,KM-CLM-000061,Reserve Change,Expense,-3999.0,2024-08-22,
KM-TXN-000055,KM-CLM-000132,Payment,Legal,3069.13,2021-09-26,CHK-332060
KM-TXN-000056,KM-CLM-000382,Payment,Indemnity,743.41,2021-11-21,CHK-700315
KM-TXN-000057,KM-CLM-000564,Reserve Change,Expense,10688.74,2023-01-07,
KM-TXN-000058,KM-CLM-000692,Reserve,Indemnity,11413.68,2024-07-09,
KM-TXN-000059,KM-CLM-000543,Payment,Expense,4036.65,2024-03-06,CHK-274624
KM-TXN-000060,KM-CLM-000410,Reserve,Medical,4295.47,2021-06-22,
KM-TXN-000061,KM-CLM-000155,Payment,Indemnity,16908.59,2023-10-17,CHK-662050
KM-TXN-000062,KM-CLM-000633,Reserve,Medical,1613.32,2024-04-07,
KM-TXN-000063,KM-CLM-000051,Reserve,Expense,15382.66,2022-03-07,
KM-TXN-000064,KM-CLM-000095,Reserve Change,Legal,-6690.99,2024-02-08,
KM-TXN-000065,KM-CLM-000688,Payment,Medical,28348.89,2024-03-16,CHK-316217
KM-TXN-000066,KM-CLM-000523,Reserve Change,Expense,4099.51,2024-04-20,
KM-TXN-000067,KM-CLM-000524,Payment,Medical,585.32,2024-05-26,CHK-917419
KM-TXN-000068,KM-CLM-000355,Payment,Indemnity,3397.71,2022-02-11,CHK-755660
KM-TXN-000069,KM-CLM-000045,Reserve,Expense,24200.33,2023-09-09,
KM-TXN-000070,KM-CLM-000205,Payment,Expense,618.42,2021-06-29,CHK-215674
KM-TXN-000071,KM-CLM-000731,Payment,Legal,1040.67,2022-06-25,CHK-743095
KM-TXN-000072,KM-CLM-000431,Reserve,Expense,1107.37,2021-06-15,
KM-TXN-000073,KM-CLM-000256,Reserve Change,Indemnity,2394.2,2023-10-19,
KM-TXN-000074,KM-CLM-000248,Reserve,Expense,6458.93,2024-05-30,
KM-TXN-000075,KM-CLM-000533,Payment,Expense,1877.49,2023-05-08,CHK-740419
KM-TXN-000076,KM-CLM-000041,Payment,Indemnity,687.71,2022-10-14,CHK-445698
KM-TXN-000077,KM-CLM-000459,Reserve Change,Medical,-1034.55,2024-05-17,
KM-TXN-000078,KM-CLM-000790,Reserve,Medical,1679.78,2021-08-26,
KM-TXN-000079,KM-CLM-000277,Payment,Indemnity,3234.52,2023-12-06,CHK-235492
KM-TXN-000080,KM-CLM-000195,Payment,Medical,511.1,2022-05-12,CHK-734347
KM-TXN-000081,KM-CLM-000071,Reserve,Expense,1482.65,2024-05-08,
KM-TXN-000082,KM-CLM-000270,Payment,Expense,4809.62,2022-09-04,CHK-665987
KM-TXN-000083,KM-CLM-000335,Reserve,Expense,2540.62,2022-05-25,
KM-TXN-000084,KM-CLM-000585,Reserve,Expense,68965.91,2021-11-01,
KM-TXN-000085,KM-CLM-000308,Reserve,Expense,6595.23,2023-06-22,
KM-TXN-000086,KM-CLM-000427,Reserve Change,Indemnity,-9066.23,2022-03-01,
KM-TXN-000087,KM-CLM-000199,Reserve,Expense,674.2,2024-04-18,
KM-TXN-000088,KM-CLM-000076,Payment,Medical,890.38,2023-05-25,CHK-120887
KM-TXN-000089,KM-CLM-000787,Reserve,Indemnity,14973.55,2021-09-13,
KM-TXN-000090,KM-CLM-000795,Reserve,Medical,12858.01,2023-10-14,
KM-TXN-000091,KM-CLM-000658,Reserve,Expense,2379.24,2024-03-11,
KM-TXN-000092,KM-CLM-000525,Payment,Expense,7933.45,2023-07-17,CHK-857311
KM-TXN-000093,KM-CLM-000641,Reserve,Legal,8047.34,2022-05-16,
KM-TXN-000094,KM-CLM-000230,Reserve,Legal,3045.14,2023-07-05,
KM-TXN-000095,KM-CLM-000085,Reserve Change,Expense,5865.51,2022-01-18,
KM-TXN-000096,KM-CLM-000162,Payment,Medical,686.16,2023-04-24,CHK-122143
KM-TXN-000097,KM-CLM-000397,Reserve,Indemnity,11301.36,2022-10-25,
KM-TXN-000098,KM-CLM-000371,Payment,Medical,3978.29,2024-06-09,CHK-941390
KM-TXN-000099,KM-CLM-000563,Reserve,Medical,12427.33,2022-01-28,
KM-TXN-000100,KM-CLM-000215,Payment,Medical,1500.12,2023-01-16,CHK-497607
KM-TXN-000101,KM-CLM-000001,Payment,Medical,5141.69,2023-02-03,CHK-194636
KM-TXN-000102,KM-CLM-000377,Reserve,Indemnity,77837.11,2024-02-15,
KM-TXN-000103,KM-CLM-000412,Reserve,Legal,3893.48,2023-01-23,
KM-TXN-000104,KM-CLM-000635,Payment,Legal,1960.6,2022-11-25,CHK-918343
KM-TXN-000105,KM-CLM-000800,Reserve Change,Indemnity,4625.6,2022-08-11,
KM-TXN-000106,KM-CLM-000200,Reserve,Indemnity,3299.28,2021-06-05,
KM-TXN-000107,KM-CLM-000183,Reserve,Medical,3166.86,2024-08-08,
KM-TXN-000108,KM-CLM-000410,Payment,Indemnity,449.38,2023-08-16,CHK-838963
KM-TXN-000109,KM-CLM-000398,Payment,Legal,228.38,2022-08-20,CHK-449477
KM-TXN-000110,KM-CLM-000216,Reserve,Expense,895.85,2023-02-15,
KM-TXN-000111,KM-CLM-000752,Reserve,Expense,17927.6,2024-04-21,
KM-TXN-000112,KM-CLM-000349,Reserve,Expense,1051.98,2021-08-12,
KM-TXN-000113,KM-CLM-000580,Reserve,Medical,10195.63,2024-01-05,
KM-TXN-000114,KM-CLM-000594,Payment,Legal,10747.21,2024-02-25,CHK-469833
KM-TXN-000115,KM-CLM-000654,Reserve,Expense,6235.28,2021-09-26,
KM-TXN-000116,KM-CLM-000041,Payment,Medical,627.12,2023-05-30,CHK-904092
KM-TXN-000117,KM-CLM-000751,Reserve Change,Expense,-661.46,2021-06-13,
KM-TXN-000118,KM-CLM-000003,Payment,Indemnity,2852.05,2023-12-30,CHK-903222
KM-TXN-000119,KM-CLM-000094,Payment,Indemnity,2869.72,2023-04-04,CHK-679751
KM-TXN-000120,KM-CLM-000059,Payment,Medical,2080.72,2023-02-02,CHK-166547
KM-TXN-000121,KM-CLM-000740,Payment,Medical,3858.39,2023-05-26,CHK-786745
KM-TXN-000122,KM-CLM-000407,Reserve Change,Medical,4997.98,2022-01-06,
KM-TXN-000123,KM-CLM-000018,Payment,Medical,1016.59,2021-06-11,CHK-151605
KM-TXN-000124,KM-CLM-000494,Payment,Expense,9756.46,2023-05-18,CHK-643842
KM-TXN-000125,KM-CLM-000751,Reserve,Medical,8057.99,2022-06-17,
KM-TXN-000126,KM-CLM-000508,Payment,Medical,125.16,2023-09-02,CHK-320686
KM-TXN-000127,KM-CLM-000586,Payment,Medical,1443.14,2023-05-28,CHK-479687
KM-TXN-000128,KM-CLM-000332,Reserve,Indemnity,3788.34,2021-06-19,
KM-TXN-000129,KM-CLM-000169,Payment,Legal,6608.89,2021-12-25,CHK-661483
KM-TXN-000130,KM-CLM-000776,Payment,Indemnity,900.08,2023-10-31,CHK-308079
KM-TXN-000131,KM-CLM-000672,Payment,Indemnity,2162.45,2024-03-04,CHK-264618
KM-TXN-000132,KM-CLM-000681,Reserve Change,Indemnity,-7095.63,2022-07-10,
KM-TXN-000133,KM-CLM-000206,Reserve,Legal,1414.69,2021-11-21,
KM-TXN-000134,KM-CLM-000521,Reserve,Legal,16243.86,2024-05-19,
KM-TXN-000135,KM-CLM-000505,Reserve Change,Indemnity,-6106.75,2024-04-19,
KM-TXN-000136,KM-CLM-000346,Reserve Change,Medical,4829.76,2022-04-11,
KM-TXN-000137,KM-CLM-000304,Payment,Indemnity,7100.73,2023-09-20,CHK-978862
KM-TXN-000138,KM-CLM-000115,Reserve,Indemnity,31636.14,2022-02-09,
KM-TXN-000139,KM-CLM-000664,Payment,Indemnity,11549.35,2024-02-24,CHK-661720
KM-TXN-000140,KM-CLM-000087,Reserve,Legal,15721.34,2021-06-15,
KM-TXN-000141,KM-CLM-000095,Reserve Change,Indemnity,2127.28,2022-04-15,
KM-TXN-000142,KM-CLM-000743,Recovery,Salvage,-1236.0,2022-10-26,
KM-TXN-000143,KM-CLM-000428,Reserve,Indemnity,5469.42,2022-09-07,
KM-TXN-000144,KM-CLM-000698,Reserve Change,Indemnity,-1867.98,2024-01-20,
KM-TXN-000145,KM-CLM-000450,Payment,Expense,4555.68,2023-08-19,CHK-514739
KM-TXN-000146,KM-CLM-000626,Reserve Change,Indemnity,2245.34,2023-07-07,
KM-TXN-000147,KM-CLM-000786,Reserve Change,Indemnity,4401.54,2023-02-03,
KM-TXN-000148,KM-CLM-000541,Reserve,Indemnity,3594.29,2023-06-17,
KM-TXN-000149,KM-CLM-000715,Reserve,Medical,4101.64,2023-10-26,
KM-TXN-000150,KM-CLM-000002,Payment,Medical,2330.39,2022-06-09,CHK-852689
KM-TXN-000151,KM-CLM-000078,Reserve Change,Medical,-633.24,2024-06-03,
KM-TXN-000152,KM-CLM-000324,Reserve Change,Expense,14209.12,2022-12-04,
KM-TXN-000153,KM-CLM-000743,Payment,Indemnity,18422.78,2022-01-09,CHK-340474
KM-TXN-000154,KM-CLM-000098,Reserve,Indemnity,4946.52,2023-11-16,
KM-TXN-000155,KM-CLM-000629,Reserve,Medical,4038.71,2023-11-17,
KM-TXN-000156,KM-CLM-000110,Reserve Change,Expense,2230.14,2022-04-28,
KM-TXN-000157,KM-CLM-000679,Payment,Expense,1079.96,2022-03-14,CHK-404283
KM-TXN-000158,KM-CLM-000457,Payment,Expense,1058.35,2023-05-26,CHK-940208
KM-TXN-000159,KM-CLM-000488,Payment,Medical,1903.57,2023-11-06,CHK-269244
KM-TXN-000160,KM-CLM-000371,Recovery,Deductible,-458.8,2021-06-12,
KM-TXN-000161,KM-CLM-000337,Reserve Change,Medical,918.84,2023-06-06,
KM-TXN-000162,KM-CLM-000599,Payment,Indemnity,2818.92,2022-07-12,CHK-492041
KM-TXN-000163,KM-CLM-000022,Reserve,Indemnity,41.54,2022-01-13,
KM-TXN-000164,KM-CLM-000722,Payment,Indemnity,179.17,2022-06-24,CHK-447605
KM-TXN-000165,KM-CLM-000305,Reserve Change,Medical,-4238.53,2023-01-05,
KM-TXN-000166,KM-CLM-000272,Payment,Medical,2529.06,2021-08-22,CHK-533476
KM-TXN-000167,KM-CLM-000490,Reserve,Expense,1546.8,2022-03-01,
KM-TXN-000168,KM-CLM-000446,Reserve,Medical,157180.69,2023-08-18,
KM-TXN-000169,KM-CLM-000278,Reserve,Indemnity,18806.17,2023-10-11,
KM-TXN-000170,KM-CLM-000651,Reserve,Indemnity,92727.58,2023-04-10,
KM-TXN-000171,KM-CLM-000377,Payment,Medical,5325.22,2021-08-04,CHK-326088
KM-TXN-000172,KM-CLM-000232,Reserve,Legal,456.8,2022-04-25,
KM-TXN-000173,KM-CLM-000745,Payment,Expense,446.44,2022-07-13,CHK-679811
KM-TXN-000174,KM-CLM-000592,Reserve,Medical,2282.21,2024-02-07,
KM-TXN-000175,KM-CLM-000426,Reserve,Legal,817.3,2022-11-27,
KM-TXN-000176,KM-CLM-000055,Payment,Indemnity,6617.53,2022-01-30,CHK-868956
KM-TXN-000177,KM-CLM-000441,Payment,Medical,1494.86,2023-10-11,CHK-360784
KM-TXN-000178,KM-CLM-000034,Reserve,Expense,6685.07,2024-02-27,
KM-TXN-000179,KM-CLM-000329,Reserve Change,Legal,6882.81,2024-07-01,
KM-TXN-000180,KM-CLM-000454,Reserve,Legal,88440.15,2024-03-11,
KM-TXN-000181,KM-CLM-000388,Payment,Medical,1305.49,2022-02-16,CHK-114303
KM-TXN-000182,KM-CLM-000764,Payment,Medical,351.6,2023-03-28,CHK-137827
KM-TXN-000183,KM-CLM-000430,Reserve Change,Legal,-5941.31,2023-08-28,
KM-TXN-000184,KM-CLM-000476,Payment,Indemnity,7181.67,2024-03-24,CHK-986552
KM-TXN-000185,KM-CLM-000125,Payment,Expense,2486.73,2023-08-06,CHK-121001
KM-TXN-000186,KM-CLM-000523,Payment,Indemnity,621.39,2022-02-25,CHK-891802
KM-TXN-000187,KM-CLM-000482,Payment,Legal,4228.24,2022-01-11,CHK-652133
KM-TXN-000188,KM-CLM-000317,Recovery,Subrogation,-226.73,2022-01-07,
KM-TXN-000189,KM-CLM-000122,Reserve,Medical,344.27,2021-07-14,
KM-TXN-000190,KM-CLM-000547,Reserve Change,Legal,-10038.61,2022-02-14,
KM-TXN-000191,KM-CLM-000581,Reserve,Expense,561.75,2022-04-15,
KM-TXN-000192,KM-CLM-000313,Reserve Change,Expense,5786.58,2023-05-06,
KM-TXN-000193,KM-CLM-000487,Payment,Indemnity,1417.89,2024-03-21,CHK-207500
KM-TXN-000194,KM-CLM-000651,Reserve Change,Indemnity,-169.0,2021-06-28,
KM-TXN-000195,KM-CLM-000012,Payment,Expense,2262.81,2022-09-28,CHK-625860
KM-TXN-000196,KM-CLM-000125,Reserve,Legal,1079.52,2021-09-15,
KM-TXN-000197,KM-CLM-000659,Reserve,Indemnity,2393.47,2023-05-02,
KM-TXN-000198,KM-CLM-000077,Reserve Change,Legal,-1917.09,2023-10-28,
KM-TXN-000199,KM-CLM-000580,Payment,Expense,591.6,2021-06-17,CHK-517267
KM-TXN-000200,KM-CLM-000718,Payment,Legal,1009.28,2023-11-07,CHK-929783
KM-TXN-000201,KM-CLM-000236,Reserve,Expense,4094.98,2024-02-09,
KM-TXN-000202,KM-CLM-000571,Reserve Change,Legal,-1239.33,2023-01-14,
KM-TXN-000203,KM-CLM-000770,Reserve,Medical,9412.37,2022-12-30,
KM-TXN-000204,KM-CLM-000254,Reserve,Legal,2372.16,2024-02-21,
KM-TXN-000205,KM-CLM-000406,Reserve Change,Expense,7724.23,2021-11-17,
KM-TXN-000206,KM-CLM-000243,Reserve Change,Legal,-5163.7,2023-10-27,
KM-TXN-000207,KM-CLM-000461,Reserve,Medical,2218.47,2022-10-21,
KM-TXN-000208,KM-CLM-000277,Reserve Change,Indemnity,1970.03,2022-04-09,
KM-TXN-000209,KM-CLM-000469,Reserve,Legal,12411.93,2024-04-13,
KM-TXN-000210,KM-CLM-000220,Reserve,Expense,804.94,2022-06-18,
KM-TXN-000211,KM-CLM-000225,Reserve Change,Medical,-513.67,2022-10-24,
KM-TXN-000212,KM-CLM-000101,Reserve Change,Indemnity,3997.67,2022-12-28,
KM-TXN-000213,KM-CLM-000634,Reserve,Legal,444.13,2022-01-22,
KM-TXN-000214,KM-CLM-000730,Reserve,Indemnity,4308.22,2022-11-22,
KM-TXN-000215,KM-CLM-000507,Reserve,Legal,528.27,2022-10-20,
KM-TXN-000216,KM-CLM-000587,Reserve Change,Legal,-4064.68,2023-10-27,
KM-TXN-000217,KM-CLM-000331,Reserve Change,Indemnity,427.82,2022-07-12,
KM-TXN-000218,KM-CLM-000237,Reserve,Indemnity,3547.51,2024-01-27,
KM-TXN-000219,KM-CLM-000339,Reserve Change,Medical,-5703.04,2021-12-29,
KM-TXN-000220,KM-CLM-000752,Reserve,Legal,30702.7,2024-03-25,
KM-TXN-000221,KM-CLM-000506,Payment,Legal,1211.5,2022-06-07,CHK-608454
KM-TXN-000222,KM-CLM-000165,Reserve,Indemnity,11213.06,2022-06-22,
KM-TXN-000223,KM-CLM-000669,Payment,Medical,10961.19,2022-04-01,CHK-144339
KM-TXN-000224,KM-CLM-000723,Reserve,Indemnity,1781.79,2022-09-13,
KM-TXN-000225,KM-CLM-000789,Reserve Change,Expense,3078.05,2022-02-02,
KM-TXN-000226,KM-CLM-000728,Reserve,Medical,9161.32,2022-02-26,
KM-TXN-000227,KM-CLM-000218,Payment,Expense,341.23,2023-08-31,CHK-264569
KM-TXN-000228,KM-CLM-000745,Reserve Change,Medical,6036.18,2021-08-18,
KM-TXN-000229,KM-CLM-000376,Payment,Legal,2040.86,2022-12-13,CHK-396841
KM-TXN-000230,KM-CLM-000012,Reserve,Indemnity,2210.0,2022-06-29,
KM-TXN-000231,KM-CLM-000432,Payment,Medical,258.9,2022-03-27,CHK-416110
KM-TXN-000232,KM-CLM-000083,Reserve Change,Legal,-6371.4,2023-10-22,
KM-TXN-000233,KM-CLM-000431,Payment,Legal,1587.28,2021-07-07,CHK-125422
KM-TXN-000234,KM-CLM-000625,Reserve,Expense,660.64,2022-07-14,
KM-TXN-000235,KM-CLM-000478,Payment,Expense,3863.37,2021-12-04,CHK-341177
KM-TXN-000236,KM-CLM-000783,Reserve Change,Legal,-1895.12,2021-09-13,
KM-TXN-000237,KM-CLM-000707,Reserve,Expense,472.43,2023-07-19,
KM-TXN-000238,KM-CLM-000369,Payment,Legal,816.04,2023-09-13,CHK-762233
KM-TXN-000239,KM-CLM-000653,Payment,Legal,504.99,2024-05-11,CHK-909932
KM-TXN-000240,KM-CLM-000636,Reserve,Legal,783.52,2023-02-18,
KM-TXN-000241,KM-CLM-000141,Payment,Expense,126.7,2022-09-17,CHK-821493
KM-TXN-000242,KM-CLM-000720,Reserve Change,Medical,497.55,2022-08-29,
KM-TXN-000243,KM-CLM-000627,Reserve,Legal,1175.26,2023-04-20,
KM-TXN-000244,KM-CLM-000718,Reserve Change,Indemnity,9383.1,2023-10-21,
KM-TXN-000245,KM-CLM-000456,Reserve Change,Indemnity,4962.88,2024-02-07,
KM-TXN-000246,KM-CLM-000502,Reserve,Expense,56795.71,2021-10-04,
KM-TXN-000247,KM-CLM-000403,Reserve,Legal,14376.27,2024-04-10,
KM-TXN-000248,KM-CLM-000288,Reserve Change,Legal,-2923.16,2023-10-23,
KM-TXN-000249,KM-CLM-000355,Reserve Change,Medical,1620.41,2021-09-14,
KM-TXN-000250,KM-CLM-000343,Reserve,Medical,3120.86,2023-02-14,
KM-TXN-000251,KM-CLM-000149,Reserve,Indemnity,8192.24,2022-01-12,
KM-TXN-000252,KM-CLM-000210,Payment,Indemnity,5268.65,2022-12-04,CHK-359322
KM-TXN-000253,KM-CLM-000112,Payment,Indemnity,3703.23,2023-06-15,CHK-135418
KM-TXN-000254,KM-CLM-000654,Payment,Indemnity,1826.23,2022-12-27,CHK-385693
KM-TXN-000255,KM-CLM-000536,Reserve Change,Legal,329.15,2023-05-20,
KM-TXN-000256,KM-CLM-000049,Payment,Indemnity,2353.18,2023-10-05,CHK-886343
KM-TXN-000257,KM-CLM-000800,Reserve Change,Medical,5529.21,2022-10-19,
KM-TXN-000258,KM-CLM-000331,Payment,Legal,1004.66,2023-03-18,CHK-229648
KM-TXN-000259,KM-CLM-000365,Reserve,Expense,3333.99,2021-09-06,
KM-TXN-000260,KM-CLM-000011,Recovery,Subrogation,-400.43,2022-06-08,
KM-TXN-000261,KM-CLM-000188,Payment,Expense,2131.88,2021-08-23,CHK-952487
KM-TXN-000262,KM-CLM-000509,Reserve,Indemnity,12772.26,2021-06-02,
KM-TXN-000263,KM-CLM-000580,Reserve,Indemnity,7703.89,2021-09-15,
KM-TXN-000264,KM-CLM-000445,Payment,Legal,1687.14,2023-03-21,CHK-922139
KM-TXN-000265,KM-CLM-000090,Payment,Legal,6550.7,2022-08-09,CHK-496211
KM-TXN-000266,KM-CLM-000622,Reserve Change,Medical,-3971.09,2023-01-06,
KM-TXN-000267,KM-CLM-000676,Reserve Change,Expense,-7499.02,2024-01-23,
KM-TXN-000268,KM-CLM-000448,Reserve,Legal,7961.14,2022-12-26,
KM-TXN-000269,KM-CLM-000718,Reserve Change,Legal,-201.3,2021-12-24,
KM-TXN-000270,KM-CLM-000032,Reserve,Expense,3824.99,2023-10-31,
KM-TXN-000271,KM-CLM-000327,Reserve,Expense,679.13,2022-06-14,
KM-TXN-000272,KM-CLM-000074,Reserve,Indemnity,6620.35,2022-10-30,
KM-TXN-000273,KM-CLM-000251,Payment,Indemnity,15585.38,2024-03-03,CHK-787106
KM-TXN-000274,KM-CLM-000450,Reserve,Legal,666.93,2023-06-15,
KM-TXN-000275,KM-CLM-000355,Payment,Indemnity,1497.39,2023-04-16,CHK-520217
KM-TXN-000276,KM-CLM-000533,Reserve,Legal,5504.05,2023-02-14,
KM-TXN-000277,KM-CLM-000296,Payment,Legal,1061.33,2022-01-15,CHK-237566
KM-TXN-000278,KM-CLM-000298,Reserve Change,Expense,822.02,2021-12-16,
KM-TXN-000279,KM-CLM-000328,Reserve Change,Legal,-2235.15,2021-06-28,
KM-TXN-000280,KM-CLM-000302,Payment,Legal,2173.97,2024-07-05,CHK-958045
KM-TXN-000281,KM-CLM-000512,Payment,Legal,1331.59,2022-02-22,CHK-876497
KM-TXN-000282,KM-CLM-000338,Recovery,Subrogation,-388.45,2023-04-10,
KM-TXN-000283,KM-CLM-000585,Reserve Change,Indemnity,-385.38,2023-06-09,
KM-TXN-000284,KM-CLM-000374,Recovery,Subrogation,-1076.27,2023-06-11,
KM-TXN-000285,KM-CLM-000553,Reserve,Expense,475.23,2024-05-19,
KM-TXN-000286,KM-CLM-000094,Payment,Medical,4157.55,2023-07-02,CHK-383114
KM-TXN-000287,KM-CLM-000132,Payment,Legal,756.8,2022-10-01,CHK-189041
KM-TXN-000288,KM-CLM-000611,Payment,Legal,3797.54,2022-12-18,CHK-180244
KM-TXN-000289,KM-CLM-000053,Payment,Medical,809.37,2022-08-05,CHK-177479
KM-TXN-000290,KM-CLM-000496,Reserve Change,Expense,3566.65,2024-09-09,
KM-TXN-000291,KM-CLM-000229,Recovery,Deductible,-633.37,2023-07-27,
KM-TXN-000292,KM-CLM-000640,Reserve,Legal,1219.11,2021-11-26,
KM-TXN-000293,KM-CLM-000212,Reserve,Legal,2544.86,2022-01-04,
KM-TXN-000294,KM-CLM-000797,Payment,Indemnity,7573.42,2022-02-23,CHK-629016
KM-TXN-000295,KM-CLM-000791,Reserve,Legal,5312.1,2022-02-02,
KM-TXN-000296,KM-CLM-000504,Reserve,Legal,2472.41,2021-08-24,
KM-TXN-000297,KM-CLM-000495,Reserve Change,Legal,5702.68,2022-06-26,
KM-TXN-000298,KM-CLM-000671,Payment,Medical,5045.24,2022-07-01,CHK-857190
KM-TXN-000299,KM-CLM-000233,Reserve Change,Indemnity,-4201.13,2023-11-30,
KM-TXN-000300,KM-CLM-000071,Reserve Change,Legal,-1022.45,2021-12-20,
KM-TXN-000301,KM-CLM-000717,Reserve Change,Expense,-8812.55,2021-11-01,
KM-TXN-000302,KM-CLM-000189,Reserve,Legal,18177.31,2024-06-24,
KM-TXN-000303,KM-CLM-000663,Reserve,Legal,4944.84,2023-05-04,
KM-TXN-000304,KM-CLM-000008,Reserve,Expense,13429.92,2023-02-08,
KM-TXN-000305,KM-CLM-000332,Reserve,Expense,270.93,2024-01-28,
KM-TXN-000306,KM-CLM-000612,Payment,Expense,1290.74,2022-07-19,CHK-837661
KM-TXN-000307,KM-CLM-000016,Reserve Change,Indemnity,837.95,2024-05-28,
KM-TXN-000308,KM-CLM-000666,Reserve Change,Indemnity,-10591.21,2022-04-11,
KM-TXN-000309,KM-CLM-000669,Reserve Change,Indemnity,3281.77,2021-08-29,
KM-TXN-000310,KM-CLM-000093,Payment,Medical,1226.41,2022-02-17,CHK-899419
