txn_id,claim_id,txn_type,cost_category,txn_amount,txn_dt,check_num
GT-0000127,CLM-886185,RSV_CHG,AO,-1417.68,2022-10-07,
GT-0000128,CLM-817718,REC,DED,-932.15,2021-09-14,
GT-0000129,CLM-454303,PMT,MED,1488.12,2023-11-22,24441
GT-0000130,CLM-212745,RSV_CHG,MED,2752.94,2021-10-31,
GT-0000131,CLM-638228,RSV_CHG,MED,-1515.66,2023-12-05,
GT-0000132,CLM-116212,RSV,DCC,495.07,2024-05-11,
GT-0000133,CLM-868071,PMT,IND,3035.02,2023-11-02,32477
GT-0000134,CLM-507976,PMT,EXP,202.46,2023-01-15,71898
GT-0000135,CLM-206594,REC,SALV,-187.65,2021-08-08,
GT-0000136,CLM-272408,RSV_CHG,EXP,-6158.06,2022-07-22,
GT-0000137,CLM-818916,RSV,MED,5390.18,2022-07-21,
GT-0000138,CLM-632006,PMT,IND,1333.52,2024-06-01,63234
GT-0000139,CLM-196750,PMT,DCC,337.16,2024-08-03,61368
GT-0000140,CLM-211369,REC,DED,-227.46,2023-02-21,
GT-0000141,CLM-507976,RSV_CHG,DCC,-1584.25,2024-06-08,
GT-0000142,CLM-637086,RSV,MED,11091.92,2024-02-17,
GT-0000143,CLM-474276,REC,DED,-561.68,2023-02-04,
GT-0000144,CLM-586806,RSV_CHG,DCC,1282.68,2023-05-18,
GT-0000145,CLM-441045,RSV,MED,8042.1,2023-07-20,
GT-0000146,CLM-632006,PMT,IND,1439.57,2022-03-18,27358
GT-0000147,CLM-131350,RSV,IND,5660.08,2022-11-29,
GT-0000148,CLM-443295,PMT,IND,1230.02,2023-06-05,12038
GT-0000149,CLM-149167,RSV,AO,42524.7,2024-02-16,
GT-0000150,CLM-607771,PMT,IND,2944.48,2022-05-06,83068
GT-0000151,CLM-291251,PMT,DCC,16065.11,2024-05-02,14337
GT-0000152,CLM-753935,PMT,AO,7697.05,2022-04-10,79518
GT-0000153,CLM-650004,PMT,EXP,1143.44,2024-02-15,27494
GT-0000154,CLM-460002,PMT,MED,1146.21,2023-01-27,12194
GT-0000155,CLM-981517,RSV_CHG,MED,-7459.97,2022-09-07,
GT-0000156,CLM-665559,RSV,IND,681.42,2021-09-13,
GT-0000157,CLM-940561,PMT,IND,5501.29,2023-12-19,41471
GT-0000158,CLM-347996,PMT,EXP,5165.12,2022-04-03,91906
GT-0000159,CLM-342880,PMT,AO,107.06,2022-03-05,25734
GT-0000160,CLM-866748,PMT,DCC,8183.78,2023-09-25,69806
GT-0000161,CLM-190188,RSV,IND,26774.59,2023-02-06,
GT-0000162,CLM-616645,PMT,AO,6331.28,2021-10-11,17447
GT-0000163,CLM-857513,RSV,EXP,9132.93,2022-09-20,
GT-0000164,CLM-617899,RSV_CHG,EXP,2285.81,2023-04-17,
GT-0000165,CLM-554191,PMT,MED,1163.54,2022-10-01,93309
GT-0000166,CLM-539860,RSV,MED,1461.53,2024-05-28,
GT-0000167,CLM-847295,PMT,EXP,6478.44,2024-07-06,32967
GT-0000168,CLM-982456,RSV_CHG,EXP,-1179.41,2021-12-12,
GT-0000169,CLM-454126,PMT,MED,10.03,2024-06-04,65217
GT-0000170,CLM-451326,RSV_CHG,DCC,2791.99,2024-05-07,
GT-0000171,CLM-295666,PMT,AO,376.26,2022-09-25,35509
GT-0000172,CLM-442640,REC,SALV,-643.66,2024-03-20,
GT-0000173,CLM-256957,RSV,EXP,57260.76,2024-01-25,
GT-0000174,CLM-347411,RSV,EXP,116267.13,2023-08-06,
GT-0000175,CLM-673283,REC,DED,-1167.96,2024-06-14,
GT-0000176,CLM-275730,PMT,DCC,8186.07,2022-10-30,98148
GT-0000177,CLM-649161,PMT,IND,3898.65,2022-11-23,44676
GT-0000178,CLM-606779,PMT,IND,4213.16,2022-10-14,46780
GT-0000179,CLM-973489,RSV_CHG,DCC,4137.06,2023-11-07,
GT-0000180,CLM-930895,RSV,MED,728.65,2023-03-05,
GT-0000181,CLM-150106,PMT,MED,280.18,2024-03-30,45300
GT-0000182,CLM-826852,PMT,IND,5527.41,2024-02-07,38618
GT-0000183,CLM-521164,REC,DED,-762.76,2021-08-29,
GT-0000184,CLM-289214,REC,DED,-648.78,2022-12-28,
GT-0000185,CLM-814670,PMT,DCC,798.79,2022-02-10,52737
GT-0000186,CLM-393116,PMT,EXP,929.33,2022-11-20,87969
GT-0000187,CLM-498928,RSV,MED,30053.08,2021-08-18,
GT-0000188,CLM-815179,RSV_CHG,MED,-3819.79,2021-08-26,
GT-0000189,CLM-887663,RSV,DCC,4110.94,2022-03-19,
GT-0000190,CLM-829286,PMT,DCC,531.29,2023-07-16,60002
GT-0000191,CLM-137538,RSV,DCC,335.07,2022-08-31,
GT-0000192,CLM-398593,RSV,MED,4775.45,2024-06-15,
GT-0000193,CLM-951881,PMT,AO,3878.66,2023-12-07,92603
GT-0000194,CLM-124031,PMT,DCC,371.96,2021-09-17,95322
GT-0000195,CLM-169224,PMT,DCC,587.9,2022-08-17,34101
GT-0000196,CLM-637086,RSV_CHG,EXP,-5327.43,2022-04-19,
GT-0000197,CLM-433713,PMT,DCC,1759.99,2023-10-20,94138
GT-0000198,CLM-875275,RSV,MED,1848.72,2022-04-30,
GT-0000199,CLM-471048,PMT,MED,93.8,2023-07-16,43171
GT-0000200,CLM-871148,RSV,DCC,2284.01,2023-01-24,
GT-0000201,CLM-632188,RSV,IND,21263.0,2022-07-08,
GT-0000202,CLM-586806,RSV_CHG,IND,5215.7,2021-10-20,
GT-0000203,CLM-211369,PMT,EXP,7128.26,2023-01-19,53779
GT-0000204,CLM-829891,PMT,IND,406.78,2021-12-17,78409
GT-0000205,CLM-589887,RSV_CHG,IND,-5337.24,2022-07-15,
GT-0000206,CLM-136901,PMT,EXP,637.87,2022-11-20,99190
GT-0000207,CLM-668303,RSV_CHG,MED,4377.96,2022-01-22,
GT-0000208,CLM-964930,RSV_CHG,DCC,4220.6,2021-10-11,
GT-0000209,CLM-745627,RSV_CHG,AO,12.99,2023-07-31,
GT-0000210,CLM-499443,RSV,IND,24080.52,2024-02-09,
GT-0000211,CLM-192492,RSV_CHG,IND,2731.4,2024-03-03,
GT-0000212,CLM-684608,RSV,EXP,1860.38,2022-05-02,
GT-0000213,CLM-345224,RSV_CHG,EXP,-1552.66,2021-08-15,
GT-0000214,CLM-342880,RSV,AO,528.78,2023-02-01,
GT-0000215,CLM-986582,RSV_CHG,IND,-557.82,2023-02-24,
GT-0000216,CLM-107053,PMT,IND,670.32,2021-12-14,73511
GT-0000217,CLM-919653,PMT,IND,402.0,2021-09-10,10769
GT-0000218,CLM-732214,RSV_CHG,MED,-3313.68,2021-11-24,
GT-0000219,CLM-176287,PMT,DCC,10329.3,2024-05-10,20646
GT-0000220,CLM-795803,PMT,MED,810.91,2023-02-09,33415
GT-0000221,CLM-285825,PMT,MED,11502.89,2022-02-21,11435
GT-0000222,CLM-643453,PMT,IND,1595.23,2022-10-15,48697
GT-0000223,CLM-183473,PMT,EXP,1099.27,2022-06-23,96759
GT-0000224,CLM-891636,PMT,MED,2916.3,2023-02-06,96212
GT-0000225,CLM-303591,RSV,EXP,88.71,2023-08-31,
GT-0000226,CLM-102360,PMT,DCC,22159.16,2022-12-05,28691
GT-0000227,CLM-287739,PMT,MED,5123.91,2022-01-02,49093
GT-0000228,CLM-704035,RSV_CHG,IND,927.64,2021-11-30,
GT-0000229,CLM-438713,RSV_CHG,DCC,3661.43,2024-04-15,
GT-0000230,CLM-454303,REC,SUBRO,-578.31,2023-04-26,
GT-0000231,CLM-549513,RSV_CHG,AO,-2731.66,2022-02-19,
GT-0000232,CLM-666881,RSV_CHG,EXP,-105.22,2022-05-23,
GT-0000233,CLM-362276,PMT,MED,855.6,2022-05-23,31273
GT-0000234,CLM-329502,RSV_CHG,AO,-4044.11,2023-02-19,
GT-0000235,CLM-626417,RSV_CHG,IND,-1776.86,2024-03-11,
GT-0000236,CLM-206551,RSV,MED,5654.74,2021-09-27,
GT-0000237,CLM-116391,PMT,DCC,2349.83,2024-03-30,96196
GT-0000238,CLM-638228,RSV,AO,38436.26,2022-06-06,
GT-0000239,CLM-753935,PMT,IND,990.2,2023-10-08,59012
GT-0000240,CLM-810968,RSV_CHG,DCC,-3178.32,2023-01-06,
GT-0000241,CLM-243497,RSV_CHG,MED,-5658.31,2023-11-12,
GT-0000242,CLM-825397,PMT,IND,2630.37,2022-09-24,38173
GT-0000243,CLM-886716,PMT,MED,9857.69,2022-08-11,63454
GT-0000244,CLM-930782,RSV,IND,2152.85,2022-07-30,
GT-0000245,CLM-340725,RSV,MED,1634.74,2023-09-04,
GT-0000246,CLM-196118,PMT,DCC,4558.08,2022-01-08,88206
GT-0000247,CLM-542461,RSV_CHG,AO,-4786.01,2024-05-12,
GT-0000248,CLM-522218,RSV_CHG,EXP,7290.67,2023-04-04,
GT-0000249,CLM-685823,RSV_CHG,EXP,-340.04,2022-05-23,
GT-0000250,CLM-381560,RSV_CHG,MED,1690.63,2022-08-15,
GT-0000251,CLM-753935,RSV,AO,4274.23,2023-03-17,
GT-0000252,CLM-734563,RSV,DCC,73.11,2021-08-29,
GT-0000253,CLM-190188,PMT,MED,1358.4,2023-01-25,12433
GT-0000254,CLM-601556,RSV,IND,2183.04,2022-10-13,
GT-0000255,CLM-295283,RSV,AO,7506.0,2022-07-20,
GT-0000256,CLM-436007,RSV,MED,25045.35,2023-12-07,
GT-0000257,CLM-728098,RSV,AO,8856.06,2022-02-21,
GT-0000258,CLM-312123,PMT,DCC,622.79,2022-03-09,86751
GT-0000259,CLM-196118,PMT,MED,12596.65,2024-07-28,21799
GT-0000260,CLM-811717,RSV,EXP,4325.3,2021-11-14,
GT-0000261,CLM-819781,RSV,MED,31229.38,2021-10-12,
GT-0000262,CLM-164056,PMT,EXP,4659.49,2022-08-30,30474
GT-0000263,CLM-808236,PMT,AO,405.31,2023-04-18,39206
GT-0000264,CLM-443295,RSV_CHG,EXP,4771.72,2023-09-23,
GT-0000265,CLM-890930,RSV,MED,16128.8,2024-07-12,
GT-0000266,CLM-335097,RSV,MED,4554.51,2024-01-01,
GT-0000267,CLM-140034,REC,SUBRO,-333.17,2022-02-20,
GT-0000268,CLM-601556,RSV,MED,14817.21,2023-09-21,
GT-0000269,CLM-287739,PMT,MED,5385.1,2022-10-15,70100
GT-0000270,CLM-227154,RSV_CHG,DCC,-1842.7,2021-11-11,
GT-0000271,CLM-381560,RSV,MED,10609.27,2024-03-30,
GT-0000272,CLM-461487,RSV,AO,2348.29,2021-08-25,
GT-0000273,CLM-758639,RSV,MED,1671.17,2022-06-02,
GT-0000274,CLM-453669,RSV,AO,8038.47,2023-10-27,
GT-0000275,CLM-303591,RSV,AO,14221.74,2024-02-05,
GT-0000276,CLM-991417,PMT,AO,2905.31,2022-07-14,57740
GT-0000277,CLM-634992,REC,SUBRO,-468.12,2021-11-23,
GT-0000278,CLM-517710,RSV,IND,642.37,2022-06-07,
GT-0000279,CLM-340725,RSV,EXP,2451.65,2021-10-11,
GT-0000280,CLM-680429,PMT,EXP,2402.93,2021-10-05,42590
GT-0000281,CLM-662292,PMT,DCC,24352.06,2023-06-18,11173
GT-0000282,CLM-665093,PMT,MED,418.11,2022-11-28,33938
GT-0000283,CLM-363408,PMT,EXP,1273.9,2023-10-10,82262
GT-0000284,CLM-644656,REC,SUBRO,-455.9,2023-11-27,
GT-0000285,CLM-864341,PMT,MED,80.41,2022-05-05,44899
GT-0000286,CLM-478521,PMT,MED,687.32,2021-12-22,84694
GT-0000287,CLM-890930,RSV,DCC,595.74,2023-08-09,
GT-0000288,CLM-312123,RSV_CHG,DCC,-1810.57,2022-09-07,
GT-0000289,CLM-154391,RSV,IND,44600.17,2023-11-17,
GT-0000290,CLM-632006,RSV_CHG,AO,2950.74,2021-10-03,
GT-0000291,CLM-637196,PMT,EXP,1855.31,2021-08-21,69159
GT-0000292,CLM-670392,PMT,IND,18671.16,2023-06-26,63093
GT-0000293,CLM-864341,PMT,DCC,9252.59,2024-03-10,17706
GT-0000294,CLM-655473,PMT,DCC,521.13,2024-04-01,42758
GT-0000295,CLM-510223,PMT,IND,137.67,2023-05-04,89959
GT-0000296,CLM-188095,PMT,IND,72.37,2021-10-01,59377
GT-0000297,CLM-739348,RSV,AO,984.74,2021-12-01,
GT-0000298,CLM-401260,PMT,DCC,707.92,2022-02-13,95069
GT-0000299,CLM-563681,RSV,IND,47839.35,2024-05-10,
GT-0000300,CLM-756477,RSV,AO,27538.88,2022-12-12,
GT-0000301,CLM-957251,PMT,MED,4890.93,2022-05-07,68832
GT-0000302,CLM-126905,RSV_CHG,DCC,-2265.06,2023-06-15,
GT-0000303,CLM-921401,PMT,AO,1158.31,2021-08-26,10100
GT-0000304,CLM-524604,REC,SALV,-347.69,2021-09-23,
GT-0000305,CLM-868083,PMT,IND,26004.09,2024-03-02,27283
GT-0000306,CLM-687132,RSV_CHG,AO,-2818.61,2022-10-17,
GT-0000307,CLM-949618,PMT,MED,527.55,2024-03-03,48488
GT-0000308,CLM-671671,PMT,MED,3085.29,2022-01-31,41756
GT-0000309,CLM-671671,PMT,DCC,423.41,2022-08-24,59208
GT-0000310,CLM-433713,PMT,IND,3056.92,2021-10-10,51713
GT-0000311,CLM-466271,RSV_CHG,IND,1301.66,2024-02-11,
GT-0000312,CLM-919653,RSV,IND,1228.75,2022-07-18,
GT-0000313,CLM-375617,PMT,DCC,946.43,2022-06-25,27427
GT-0000314,CLM-704823,PMT,IND,493.09,2022-02-08,50414
GT-0000315,CLM-521164,RSV,MED,20382.83,2022-03-12,
GT-0000316,CLM-291251,PMT,DCC,1221.93,2022-09-23,15508
GT-0000317,CLM-930897,PMT,IND,1120.82,2023-09-19,56128
GT-0000318,CLM-460029,PMT,EXP,4239.85,2021-10-24,56512
GT-0000319,CLM-695451,PMT,AO,3560.89,2024-06-09,39138
GT-0000320,CLM-985734,PMT,MED,2007.1,2024-03-25,65694
GT-0000321,CLM-778712,REC,DED,-1717.32,2022-01-02,
GT-0000322,CLM-816728,PMT,AO,1209.25,2023-10-08,43533
GT-0000323,CLM-347905,RSV_CHG,MED,-4016.05,2024-05-12,
GT-0000324,CLM-346709,RSV,IND,5100.43,2022-05-19,
GT-0000325,CLM-272820,RSV,DCC,3800.71,2022-08-16,
GT-0000326,CLM-991417,RSV,DCC,40066.02,2022-04-03,
GT-0000327,CLM-573963,PMT,EXP,1050.83,2021-09-21,75697
GT-0000328,CLM-343363,RSV,AO,51229.9,2023-01-02,
GT-0000329,CLM-870229,REC,SALV,-143.12,2023-05-10,
GT-0000330,CLM-722429,RSV_CHG,DCC,-1062.49,2023-02-24,
GT-0000331,CLM-820106,RSV,DCC,2428.6,2023-11-13,
GT-0000332,CLM-868071,RSV_CHG,MED,-1446.02,2022-03-18,
GT-0000333,CLM-270697,PMT,EXP,6493.99,2024-05-12,20375
GT-0000334,CLM-722429,RSV,DCC,1916.53,2022-03-16,
GT-0000335,CLM-498280,REC,SALV,-1621.01,2022-07-09,
GT-0000336,CLM-169224,RSV,MED,3511.0,2021-12-19,
GT-0000337,CLM-363408,PMT,MED,1303.58,2024-03-28,79833
GT-0000338,CLM-571628,RSV_CHG,MED,-6026.07,2021-08-13,
GT-0000339,CLM-388769,RSV_CHG,MED,5645.15,2024-02-18,
GT-0000340,CLM-870229,RSV,MED,46803.48,2023-01-08,
GT-0000341,CLM-717741,RSV,MED,544.71,2023-04-20,
GT-0000342,CLM-188095,RSV_CHG,MED,7271.99,2022-12-15,
GT-0000343,CLM-151573,RSV_CHG,AO,-6495.45,2023-11-12,
GT-0000344,CLM-340725,RSV_CHG,IND,-757.89,2021-11-19,
GT-0000345,CLM-992924,REC,DED,-487.22,2022-05-24,
GT-0000346,CLM-218695,REC,SUBRO,-390.61,2022-11-05,
GT-0000347,CLM-632188,PMT,AO,6096.04,2023-04-10,67621
GT-0000348,CLM-830989,RSV_CHG,EXP,3363.68,2023-03-24,
GT-0000349,CLM-970053,RSV,EXP,265.4,2022-04-27,
GT-0000350,CLM-598970,REC,SUBRO,-2750.14,2022-08-12,
GT-0000351,CLM-382331,PMT,EXP,13040.58,2023-08-09,58131
GT-0000352,CLM-601556,RSV_CHG,AO,3054.57,2022-05-23,
GT-0000353,CLM-521164,RSV_CHG,AO,-1571.1,2022-02-07,
GT-0000354,CLM-569056,RSV,MED,5719.56,2023-10-23,
GT-0000355,CLM-802160,RSV_CHG,MED,-1279.93,2021-09-01,
GT-0000356,CLM-720478,RSV_CHG,MED,4400.19,2022-05-23,
GT-0000357,CLM-509464,RSV,EXP,228.72,2023-07-03,
GT-0000358,CLM-646877,RSV_CHG,DCC,1801.85,2022-08-06,
GT-0000359,CLM-573682,PMT,IND,6642.35,2022-10-14,46488
GT-0000360,CLM-735955,PMT,DCC,1076.07,2023-02-04,99085
GT-0000361,CLM-196750,RSV_CHG,MED,2483.79,2022-01-16,
GT-0000362,CLM-106561,RSV_CHG,AO,-7906.59,2022-05-18,
GT-0000363,CLM-275824,PMT,EXP,428.51,2021-09-04,12132
GT-0000364,CLM-687132,RSV_CHG,MED,1784.96,2023-02-08,
GT-0000365,CLM-528264,RSV,EXP,8282.27,2023-04-17,
GT-0000366,CLM-918149,PMT,IND,695.6,2024-01-31,41859
GT-0000367,CLM-601556,RSV,DCC,6556.89,2024-03-29,
GT-0000368,CLM-140034,PMT,MED,1375.29,2022-08-05,62442
GT-0000369,CLM-717203,RSV_CHG,DCC,-8266.62,2023-09-09,
GT-0000370,CLM-989272,REC,SUBRO,-421.76,2021-09-16,
GT-0000371,CLM-937606,RSV_CHG,IND,3259.34,2022-10-01,
GT-0000372,CLM-741086,RSV,IND,33616.34,2022-08-10,
GT-0000373,CLM-600801,PMT,AO,1082.5,2023-12-10,45648
GT-0000374,CLM-613416,PMT,IND,2445.41,2023-07-25,76849
GT-0000375,CLM-257643,REC,SALV,-658.35,2023-05-09,
GT-0000376,CLM-571628,RSV,DCC,9466.08,2022-02-10,
GT-0000377,CLM-982456,PMT,DCC,637.63,2022-11-04,81668
GT-0000378,CLM-517260,RSV_CHG,EXP,-323.38,2022-04-25,
GT-0000379,CLM-263518,RSV,IND,9614.71,2024-03-21,
GT-0000380,CLM-578814,PMT,MED,2498.98,2023-11-16,29250
GT-0000381,CLM-573682,PMT,IND,3257.52,2022-01-09,25578
GT-0000382,CLM-100487,RSV,DCC,14403.33,2024-03-11,
GT-0000383,CLM-488027,RSV,EXP,5196.24,2023-04-07,
GT-0000384,CLM-870229,RSV_CHG,MED,1335.05,2021-09-19,
GT-0000385,CLM-687132,RSV_CHG,AO,-2550.59,2022-05-02,
