pol_id,line_of_business,status,eff_dt,exp_dt,jurisdiction,class_cd,total_premium,named_insured,producer_code,uw_id,term_number
GLI3998561,GenLiab,Active,2022-06-08,2023-06-08,Michigan,97047,16697.69,GLI Insured 45,P-300,GLI-UW2,4
GLI5919745,WorkersComp,Expired,2023-06-02,2024-06-01,Wisconsin,8810,4605.23,GLI Insured 46,P-200,GLI-UW3,6
GLI6987542,WorkersComp,Active,2021-11-12,2022-11-12,Michigan,5183,,GLI Insured 47,P-200,GLI-UW1,3
GLI7997109,WorkersComp,Active,2023-02-21,2024-02-21,Minnesota,5183,8947.87,GLI Insured 48,P-500,,3
GLI1293919,GenLiab,Active,2022-05-01,2023-05-01,Indiana,91580,4109.96,GLI Insured 49,P-400,GLI-UW1,2
GLI8495559,CommAuto,Expired,2023-06-10,2024-06-09,Michigan,7220,17976.35,GLI Insured 50,P-100,GLI-UW2,1
GLI6446430,CommAuto,Non-Renewed,2023-07-11,2024-07-10,Ohio,7210,1711.89,GLI Insured 51,P-200,GLI-UW3,2
GLI5994297,CommAuto,Expired,2023-07-04,2024-07-03,Wisconsin,7210,1103.48,GLI Insured 52,P-200,GLI-UW1,2
GLI1597521,CommAuto,Expired,2023-09-30,2024-09-29,Minnesota,7219,4339.85,GLI Insured 53,P-400,GLI-UW1,1
GLI2873734,WorkersComp,Expired,2023-09-13,2024-09-12,Michigan,5191,4709.17,GLI Insured 54,P-400,GLI-UW1,2
GLI6993567,WorkersComp,Active,2023-08-27,2024-08-26,Wisconsin,5191,1002.99,GLI Insured 55,P-300,,4
GLI1614253,GenLiab,Cancelled,2023-05-05,2024-05-04,Illinois,41677,7337.02,GLI Insured 56,,GLI-UW2,6
GLI9913206,CommAuto,Expired,2023-10-06,2024-10-05,Wisconsin,7230,4765.93,GLI Insured 57,P-500,GLI-UW1,4
GLI7647377,GenLiab,Active,2023-03-15,2024-03-14,Michigan,58483,13330.76,GLI Insured 58,P-500,GLI-UW3,1
GLI5171264,GenLiab,Active,2023-01-21,2024-01-21,Indiana,91580,3481.37,GLI Insured 59,P-200,GLI-UW2,1
GLI3939932,CommAuto,Non-Renewed,2022-12-28,2023-12-28,Ohio,7210,1095.19,GLI Insured 60,P-300,GLI-UW1,2
GLI2410072,CommAuto,Active,2023-05-26,2024-05-25,Minnesota,7210,2086.35,GLI Insured 61,P-300,GLI-UW2,1
GLI9975562,GenLiab,Non-Renewed,2021-11-28,2022-11-28,Illinois,58483,1167.38,GLI Insured 62,P-300,GLI-UW2,3
GLI2586664,WorkersComp,Active,2024-02-19,2025-02-18,Michigan,5183,31165.92,GLI Insured 63,P-500,GLI-UW1,1
GLI3114845,WorkersComp,Expired,2022-04-26,2023-04-26,Indiana,5183,20034.71,GLI Insured 64,P-200,GLI-UW2,2
GLI3426728,CommAuto,Active,2022-07-17,2023-07-17,Illinois,7220,9880.65,GLI Insured 65,P-500,GLI-UW1,1
GLI9278722,WorkersComp,Cancelled,2022-05-19,2023-05-19,Michigan,5191,14762.06,GLI Insured 66,P-300,GLI-UW3,3
GLI8232666,WorkersComp,Expired,2022-03-27,2023-03-27,Wisconsin,8742,2297.6,GLI Insured 67,P-200,GLI-UW1,4
GLI5608638,GenLiab,Active,2022-04-03,2023-04-03,Illinois,58483,3931.5,GLI Insured 68,P-300,GLI-UW1,5
GLI6794620,GenLiab,Active,2023-03-15,2024-03-14,Illinois,97047,10239.39,GLI Insured 69,P-100,,6
GLI8684482,CommAuto,Active,2023-10-05,2024-10-04,Indiana,7220,1224.67,GLI Insured 70,P-100,GLI-UW2,2
GLI5095330,CommAuto,Cancelled,2023-06-15,2024-06-14,Michigan,7230,5478.21,GLI Insured 71,P-500,GLI-UW1,4
GLI9783858,WorkersComp,Expired,2023-04-07,2024-04-06,Indiana,9015,16325.4,GLI Insured 72,P-400,GLI-UW3,3
GLI8691004,CommAuto,Cancelled,2022-11-19,2023-11-19,Indiana,7210,19619.11,GLI Insured 73,P-200,,3
GLI1681842,CommAuto,Active,2022-05-12,2023-05-12,Illinois,7219,7854.76,GLI Insured 74,,GLI-UW1,4
GLI2284063,GenLiab,Expired,2023-05-14,2024-05-13,Illinois,41677,7943.1,GLI Insured 75,P-100,GLI-UW3,1
GLI6479245,GenLiab,Non-Renewed,2021-12-15,2022-12-15,Wisconsin,41677,5556.78,GLI Insured 76,P-200,GLI-UW3,5
GLI7254467,WorkersComp,Expired,2023-10-20,2024-10-19,Wisconsin,8810,13212.54,GLI Insured 77,P-100,GLI-UW3,2
GLI1642355,WorkersComp,Active,2021-10-09,2022-10-09,Minnesota,7380,14036.78,GLI Insured 78,P-100,GLI-UW3,2
GLI3462063,CommAuto,Expired,2023-09-13,2024-09-12,Indiana,7219,943.79,GLI Insured 79,P-100,GLI-UW3,2
GLI2696557,CommAuto,Expired,2022-11-06,2023-11-06,Wisconsin,7220,4672.3,GLI Insured 80,P-500,,4
GLI7407436,WorkersComp,Expired,2023-06-23,2024-06-22,Illinois,9015,749.78,GLI Insured 81,,,3
GLI9600542,GenLiab,Active,2021-06-13,2022-06-13,Indiana,91580,895.11,GLI Insured 82,P-500,GLI-UW1,3
GLI2321455,GenLiab,Active,2022-04-13,2023-04-13,Michigan,91580,5617.55,GLI Insured 83,P-400,,1
GLI6666886,GenLiab,Non-Renewed,2022-05-19,2023-05-19,Indiana,41677,7965.37,GLI Insured 84,P-400,GLI-UW2,1
GLI6066483,GenLiab,Active,2023-01-21,2024-01-21,Wisconsin,58483,1880.41,GLI Insured 85,P-300,GLI-UW3,3
GLI8088875,GenLiab,Active,2022-01-15,2023-01-15,Michigan,41677,13030.66,GLI Insured 86,P-300,GLI-UW3,1
GLI7723294,GenLiab,Expired,2023-04-27,2024-04-26,Wisconsin,41677,18317.35,GLI Insured 87,P-400,GLI-UW2,1
GLI1375532,CommAuto,Expired,2024-01-24,2025-01-23,Ohio,7210,7073.86,GLI Insured 88,,GLI-UW1,1
GLI4085839,WorkersComp,Non-Renewed,2023-08-02,2024-08-01,Illinois,8742,7910.55,GLI Insured 89,P-100,,1
GLI5309362,WorkersComp,Active,2022-03-05,2023-03-05,Wisconsin,8810,10674.71,GLI Insured 90,P-200,GLI-UW1,2
GLI2330152,WorkersComp,Expired,2023-08-25,2024-08-24,Michigan,8742,8969.54,GLI Insured 91,P-200,GLI-UW2,1
GLI8271837,CommAuto,Active,2021-04-18,2022-04-18,Illinois,7230,4674.08,GLI Insured 92,P-300,GLI-UW2,5
GLI2953294,GenLiab,Active,2022-04-27,2023-04-27,Indiana,97047,2393.91,GLI Insured 93,P-400,GLI-UW1,3
GLI4215246,CommAuto,Active,2023-04-30,2024-04-29,Illinois,7230,3100.05,GLI Insured 94,P-300,GLI-UW3,3
GLI5378446,WorkersComp,Expired,2022-02-16,2023-02-16,Illinois,8017,8549.44,GLI Insured 95,P-100,GLI-UW1,2
GLI6086875,WorkersComp,Expired,2022-09-11,2023-09-11,Ohio,9015,10975.65,GLI Insured 96,P-300,,3
GLI9624152,WorkersComp,Active,2022-01-14,2023-01-14,Wisconsin,8810,13774.76,GLI Insured 97,P-400,,2
GLI5089486,WorkersComp,Active,2023-06-02,2024-06-01,Illinois,8810,,GLI Insured 98,P-300,GLI-UW3,1
GLI1819251,WorkersComp,Expired,2022-04-10,2023-04-10,Illinois,8742,6936.16,GLI Insured 99,P-500,GLI-UW3,1
GLI7278644,WorkersComp,Active,2022-01-03,2023-01-03,Ohio,5191,6364.0,GLI Insured 100,P-200,GLI-UW2,3
GLI8934254,WorkersComp,Active,2023-06-21,2024-06-20,Indiana,5191,47265.76,GLI Insured 101,P-100,GLI-UW2,1
GLI4610612,CommAuto,Expired,2022-12-09,2023-12-09,Minnesota,7219,4792.62,GLI Insured 102,P-200,GLI-UW2,1
GLI8330731,WorkersComp,Active,2023-10-16,2024-10-15,Ohio,8810,14859.34,GLI Insured 103,P-100,,2
GLI5610156,CommAuto,Active,2022-07-17,2023-07-17,Indiana,7219,8083.1,GLI Insured 104,P-200,GLI-UW2,3
GLI4115755,CommAuto,Expired,2021-11-23,2022-11-23,Michigan,7219,7314.93,GLI Insured 105,P-200,GLI-UW3,4
GLI5644836,WorkersComp,Active,2023-11-22,2024-11-21,Ohio,9015,1298.42,GLI Insured 106,P-400,GLI-UW2,5
GLI9414832,CommAuto,Cancelled,2022-12-08,2023-12-08,Wisconsin,7219,3551.91,GLI Insured 107,P-200,GLI-UW2,1
GLI1767426,WorkersComp,Expired,2024-02-20,2025-02-19,Ohio,7380,14916.03,GLI Insured 108,P-500,GLI-UW1,6
GLI7688583,WorkersComp,Active,2021-05-12,2022-05-12,Indiana,8742,9110.06,GLI Insured 109,P-200,GLI-UW2,4
GLI4041045,GenLiab,Expired,2021-09-15,2022-09-15,Indiana,58483,1430.26,GLI Insured 110,P-100,,1
GLI5780038,CommAuto,Active,2021-07-12,2022-07-12,Wisconsin,7210,1938.36,GLI Insured 111,P-100,GLI-UW3,4
GLI5574801,CommAuto,Expired,2021-08-23,2022-08-23,Michigan,7210,2161.41,GLI Insured 112,,GLI-UW3,2
GLI1084742,GenLiab,Expired,2021-04-13,2022-04-13,Michigan,41677,7062.72,GLI Insured 113,P-300,GLI-UW3,1
GLI7831393,GenLiab,Non-Renewed,2021-03-18,2022-03-18,Michigan,97047,6550.62,GLI Insured 114,P-300,GLI-UW1,1
GLI4475171,WorkersComp,Non-Renewed,2021-06-17,2022-06-17,Minnesota,9015,31934.87,GLI Insured 115,P-100,GLI-UW1,2
GLI1314051,GenLiab,Expired,2023-01-08,2024-01-08,Michigan,97047,5486.77,GLI Insured 116,P-400,GLI-UW2,2
GLI7951217,GenLiab,Expired,2021-09-01,2022-09-01,Illinois,41677,6392.31,GLI Insured 117,P-400,GLI-UW2,5
GLI3177128,WorkersComp,Active,2022-12-02,2023-12-02,Michigan,7380,2432.63,GLI Insured 118,P-200,GLI-UW1,1
GLI5609853,GenLiab,Cancelled,2023-03-01,2024-02-29,Indiana,97047,4795.04,GLI Insured 119,P-400,GLI-UW1,2
GLI5480410,WorkersComp,Active,2022-04-20,2023-04-20,Ohio,8742,62695.59,GLI Insured 120,P-200,,1
GLI8758476,CommAuto,Expired,2022-01-03,2023-01-03,Michigan,7219,5112.67,GLI Insured 121,P-100,GLI-UW2,3
GLI6337828,CommAuto,Active,2022-05-11,2023-05-11,Illinois,7210,2719.16,GLI Insured 122,P-400,GLI-UW2,5
GLI2629867,WorkersComp,Active,2022-11-20,2023-11-20,Illinois,9015,11777.9,GLI Insured 123,,GLI-UW2,3
GLI4713195,GenLiab,Active,2021-07-14,2022-07-14,Illinois,97047,12500.89,GLI Insured 124,P-400,GLI-UW1,2
GLI4771933,GenLiab,Active,2023-03-14,2024-03-13,Illinois,58483,8088.8,GLI Insured 125,P-200,GLI-UW2,4
GLI1303213,GenLiab,Active,2022-12-07,2023-12-07,Indiana,41677,10564.62,GLI Insured 126,P-200,GLI-UW1,1
GLI6446032,WorkersComp,Active,2023-09-01,2024-08-31,Wisconsin,5183,19213.85,GLI Insured 127,,,5
GLI4708733,WorkersComp,Active,2023-10-29,2024-10-28,Wisconsin,9015,9331.28,GLI Insured 128,P-200,GLI-UW1,3
GLI2069085,GenLiab,Active,2023-01-23,2024-01-23,Indiana,58483,7067.38,GLI Insured 129,P-500,GLI-UW3,3
GLI5829008,WorkersComp,Active,2022-02-22,2023-02-22,Wisconsin,8017,4729.49,GLI Insured 130,P-400,GLI-UW3,4
GLI8728326,CommAuto,Expired,2022-10-15,2023-10-15,Illinois,7230,2626.4,GLI Insured 131,P-300,GLI-UW2,3
GLI8059261,GenLiab,Cancelled,2022-11-12,2023-11-12,Michigan,41677,5092.9,GLI Insured 132,P-100,,3
GLI6515543,WorkersComp,Expired,2021-09-24,2022-09-24,Illinois,5183,2460.32,GLI Insured 133,P-100,GLI-UW1,3
GLI7526999,WorkersComp,Active,2022-01-22,2023-01-22,Michigan,7380,11293.45,GLI Insured 134,P-300,GLI-UW1,1
GLI8979292,CommAuto,Active,2022-01-06,2023-01-06,Indiana,7230,2304.45,GLI Insured 135,,GLI-UW2,2
GLI1210843,WorkersComp,Active,2022-01-29,2023-01-29,Minnesota,8017,9518.86,GLI Insured 136,P-100,GLI-UW3,6
GLI6753758,CommAuto,Non-Renewed,2023-06-29,2024-06-28,Illinois,7220,,GLI Insured 137,P-300,GLI-UW1,1
GLI6714252,WorkersComp,Active,2021-10-29,2022-10-29,Wisconsin,8017,,GLI Insured 138,P-400,GLI-UW1,2
GLI6362716,WorkersComp,Expired,2024-02-24,2025-02-23,Indiana,5183,11720.06,GLI Insured 139,P-300,GLI-UW2,1
GLI6811062,GenLiab,Active,2023-06-18,2024-06-17,Wisconsin,91580,1040.84,GLI Insured 140,P-300,GLI-UW3,2
GLI8455510,CommAuto,Active,2022-01-19,2023-01-19,Michigan,7230,6075.86,GLI Insured 141,P-400,GLI-UW1,3
GLI3546422,CommAuto,Expired,2023-10-18,2024-10-17,Illinois,7230,6135.28,GLI Insured 142,P-500,GLI-UW2,3
GLI8750193,WorkersComp,Active,2022-09-27,2023-09-27,Indiana,5191,14813.51,GLI Insured 143,P-200,GLI-UW2,2
GLI9371405,CommAuto,Active,2022-07-24,2023-07-24,Ohio,7210,5118.63,GLI Insured 144,P-500,GLI-UW1,5
GLI4533909,GenLiab,Cancelled,2021-10-19,2022-10-19,Minnesota,91580,3588.39,GLI Insured 145,P-300,GLI-UW3,4
GLI9929511,CommAuto,Active,2021-12-26,2022-12-26,Ohio,7220,2870.19,GLI Insured 146,P-400,GLI-UW2,1
GLI3852351,CommAuto,Expired,2023-08-29,2024-08-28,Illinois,7230,2614.2,GLI Insured 147,P-100,GLI-UW3,2
GLI7544141,WorkersComp,Active,2021-09-15,2022-09-15,Indiana,8017,20470.89,GLI Insured 148,P-300,GLI-UW3,5
GLI5289809,CommAuto,Non-Renewed,2021-05-20,2022-05-20,Michigan,7230,13140.88,GLI Insured 149,P-100,GLI-UW1,1
GLI7760181,GenLiab,Expired,2021-12-03,2022-12-03,Minnesota,58483,5811.21,GLI Insured 150,P-200,GLI-UW2,3
GLI1541342,GenLiab,Active,2023-04-20,2024-04-19,Minnesota,58483,2463.83,GLI Insured 151,P-100,,1
GLI2318832,CommAuto,Non-Renewed,2023-10-25,2024-10-24,Minnesota,7210,3312.18,GLI Insured 152,P-500,GLI-UW2,1
GLI9162761,GenLiab,Active,2023-04-16,2024-04-15,Ohio,58483,11887.04,GLI Insured 153,P-400,GLI-UW2,5
GLI6793159,WorkersComp,Active,2023-11-02,2024-11-01,Michigan,8017,13340.4,GLI Insured 154,P-500,GLI-UW3,4
GLI2394052,CommAuto,Expired,2022-02-13,2023-02-13,Indiana,7220,4120.6,GLI Insured 155,P-300,GLI-UW1,1
GLI4482131,WorkersComp,Expired,2021-04-10,2022-04-10,Minnesota,8810,6387.64,GLI Insured 156,P-500,GLI-UW3,4
GLI9885075,CommAuto,Expired,2023-03-13,2024-03-12,Michigan,7219,1234.09,GLI Insured 157,P-500,GLI-UW3,1
GLI7194004,WorkersComp,Expired,2023-08-21,2024-08-20,Ohio,8810,6678.23,GLI Insured 158,P-200,GLI-UW2,2
GLI6100822,GenLiab,Active,2022-03-08,2023-03-08,Minnesota,41677,3983.43,GLI Insured 159,P-200,GLI-UW1,3
GLI5895978,GenLiab,Non-Renewed,2023-09-03,2024-09-02,Michigan,58483,3877.91,GLI Insured 160,P-300,,2
GLI6290495,WorkersComp,Cancelled,2021-04-10,2022-04-10,Illinois,8810,10440.65,GLI Insured 161,P-100,GLI-UW1,4
GLI8574899,CommAuto,Expired,2023-12-03,2024-12-02,Illinois,7210,13702.27,GLI Insured 162,,GLI-UW2,3
GLI8841337,GenLiab,Active,2023-02-03,2024-02-03,Illinois,58483,5518.32,GLI Insured 163,P-200,GLI-UW3,2
GLI1496011,WorkersComp,Cancelled,2023-01-25,2024-01-25,Michigan,8742,13883.66,GLI Insured 164,P-300,GLI-UW1,5
GLI3615576,WorkersComp,Expired,2021-08-22,2022-08-22,Michigan,8017,7672.37,GLI Insured 165,P-500,,1
GLI3797337,WorkersComp,Non-Renewed,2023-03-28,2024-03-27,Michigan,8810,7669.81,GLI Insured 166,P-200,GLI-UW2,2
GLI6899311,WorkersComp,Active,2021-07-20,2022-07-20,Michigan,5191,22622.19,GLI Insured 167,P-200,GLI-UW2,3
GLI8239885,CommAuto,Expired,2022-02-26,2023-02-26,Minnesota,7230,5226.96,GLI Insured 168,P-100,GLI-UW2,4
GLI7969137,CommAuto,Non-Renewed,2021-12-02,2022-12-02,Wisconsin,7230,6941.44,GLI Insured 169,P-300,,2
GLI1392726,CommAuto,Active,2022-11-05,2023-11-05,Ohio,7220,9584.45,GLI Insured 170,P-100,,5
GLI5762844,CommAuto,Expired,2023-05-16,2024-05-15,Illinois,7210,5187.6,GLI Insured 171,P-400,GLI-UW2,2
GLI9233534,GenLiab,Non-Renewed,2022-01-01,2023-01-01,Michigan,91580,6605.45,GLI Insured 172,P-300,GLI-UW2,2
GLI4937924,GenLiab,Expired,2021-10-14,2022-10-14,Michigan,91580,9794.19,GLI Insured 173,P-300,GLI-UW2,6
GLI7296226,CommAuto,Expired,2022-04-08,2023-04-08,Indiana,7219,2554.98,GLI Insured 174,P-200,GLI-UW2,3
GLI3209515,WorkersComp,Active,2022-12-17,2023-12-17,Michigan,8017,4589.17,GLI Insured 175,P-100,GLI-UW1,2
GLI7348982,WorkersComp,Expired,2022-10-20,2023-10-20,Illinois,8017,4093.34,GLI Insured 176,P-400,GLI-UW3,5
GLI3071885,WorkersComp,Active,2021-08-18,2022-08-18,Wisconsin,8017,5210.67,GLI Insured 177,P-200,,3
GLI2627051,GenLiab,Active,2023-02-25,2024-02-25,Wisconsin,97047,2101.64,GLI Insured 178,P-500,GLI-UW3,3
GLI7639578,WorkersComp,Expired,2023-12-09,2024-12-08,Wisconsin,8017,1824.83,GLI Insured 179,P-200,GLI-UW2,3
GLI4662556,WorkersComp,Active,2021-04-02,2022-04-02,Michigan,8742,3867.58,GLI Insured 180,P-400,GLI-UW3,3
GLI4545112,GenLiab,Cancelled,2023-07-04,2024-07-03,Michigan,91580,827.37,GLI Insured 181,P-400,,2
GLI2856109,CommAuto,Expired,2022-02-10,2023-02-10,Ohio,7219,4908.54,GLI Insured 182,P-300,GLI-UW2,2
GLI5854470,GenLiab,Expired,2023-03-18,2024-03-17,Minnesota,97047,,GLI Insured 183,,,5
GLI3996787,GenLiab,Active,2022-07-31,2023-07-31,Michigan,58483,9827.07,GLI Insured 184,P-200,GLI-UW1,2
GLI3669548,WorkersComp,Active,2022-03-29,2023-03-29,Illinois,5183,3500.79,GLI Insured 185,P-500,GLI-UW1,1
GLI7729618,GenLiab,Active,2024-01-16,2025-01-15,Indiana,58483,8096.11,GLI Insured 186,P-100,GLI-UW1,2
GLI7853764,WorkersComp,Active,2022-09-25,2023-09-25,Michigan,5191,3913.93,GLI Insured 187,P-200,GLI-UW1,1
GLI6905993,GenLiab,Cancelled,2024-01-30,2025-01-29,Michigan,41677,10090.03,GLI Insured 188,P-100,GLI-UW2,3
GLI4653282,CommAuto,Expired,2021-04-18,2022-04-18,Michigan,7219,,GLI Insured 189,P-400,,1
GLI8015896,GenLiab,Cancelled,2023-11-28,2024-11-27,Indiana,41677,4492.49,GLI Insured 190,P-400,GLI-UW3,1
GLI5678825,GenLiab,Expired,2022-12-13,2023-12-13,Ohio,97047,3947.02,GLI Insured 191,P-300,GLI-UW3,5
GLI6358701,CommAuto,Expired,2022-02-05,2023-02-05,Minnesota,7210,7029.46,GLI Insured 192,P-400,GLI-UW2,4
GLI7093060,CommAuto,Expired,2021-06-15,2022-06-15,Minnesota,7220,6956.29,GLI Insured 193,P-500,GLI-UW2,2
GLI2772324,GenLiab,Active,2022-07-03,2023-07-03,Ohio,91580,14401.06,GLI Insured 194,P-500,GLI-UW2,1
GLI6331381,GenLiab,Expired,2022-11-18,2023-11-18,Ohio,91580,1084.2,GLI Insured 195,P-200,GLI-UW2,4
GLI9427273,CommAuto,Active,2022-08-21,2023-08-21,Illinois,7210,11468.37,GLI Insured 196,P-200,GLI-UW3,6
GLI9986330,CommAuto,Expired,2023-09-06,2024-09-05,Ohio,7230,2104.99,GLI Insured 197,P-200,GLI-UW2,2
GLI9934008,WorkersComp,Active,2023-08-04,2024-08-03,Illinois,5183,37695.32,GLI Insured 198,P-200,GLI-UW2,3
GLI7579577,GenLiab,Expired,2023-01-21,2024-01-21,Indiana,58483,32175.71,GLI Insured 199,P-200,GLI-UW3,1
GLI4776538,CommAuto,Active,2021-05-22,2022-05-22,Illinois,7230,9262.74,GLI Insured 200,P-200,GLI-UW1,3
GLI7777424,GenLiab,Active,2022-09-10,2023-09-10,Wisconsin,91580,2735.77,GLI Insured 201,,GLI-UW2,2
GLI9301923,CommAuto,Expired,2023-09-25,2024-09-24,Illinois,7230,1683.9,GLI Insured 202,P-500,,4
GLI8783184,WorkersComp,Active,2021-08-12,2022-08-12,Wisconsin,7380,4295.29,GLI Insured 203,P-500,,2
GLI5803038,WorkersComp,Active,2023-01-11,2024-01-11,Wisconsin,9015,13540.11,GLI Insured 204,,GLI-UW1,3
GLI8540619,WorkersComp,Active,2021-05-04,2022-05-04,Illinois,7380,3111.96,GLI Insured 205,P-400,GLI-UW2,1
GLI3633482,CommAuto,Active,2021-11-23,2022-11-23,Ohio,7220,1095.64,GLI Insured 206,P-100,GLI-UW2,1
GLI3980080,WorkersComp,Cancelled,2021-03-22,2022-03-22,Ohio,8810,21439.52,GLI Insured 207,P-500,GLI-UW1,1
GLI7711798,CommAuto,Expired,2021-04-09,2022-04-09,Indiana,7220,2643.2,GLI Insured 208,P-100,GLI-UW2,2
